chrom	length	bases	mean	min	max
I	11571861	654321358	56.54	0	118
I_region	689628	6801598	9.86	0	58
II	10664372	624180555	58.53	1	194
II_region	271839	3806698	14.00	1	51
III	10992003	638725374	58.11	0	115
III_region	351840	4101190	11.66	0	47
IV	12464839	801612359	64.31	2	4077
IV_region	239543	19386338	80.93	2	3850
V	11207553	660682133	58.95	1	113
V_region	36148	664863	18.39	4	51
X	12760602	893494699	70.02	0	524
X_region	318460	5752143	18.06	0	57
I_unloc_1	181873	1892062	10.40	1	19
I_unloc_1_region	181872	1892057	10.40	1	19
II_unloc_1	78904	700407	8.88	1	21
II_unloc_1_region	78903	700406	8.88	1	21
II_unloc_2	66420	1144351	17.23	1	30
II_unloc_2_region	66419	1144340	17.23	1	30
II_unloc_3	44717	330962	7.40	1	12
II_unloc_3_region	44716	330958	7.40	1	12
II_unloc_4	30055	323300	10.76	1	15
II_unloc_4_region	30054	323293	10.76	1	15
III_unloc_1	37614	760872	20.23	1	341
III_unloc_1_region	37613	760861	20.23	1	341
V_unloc_1	133474	1252889	9.39	1	50
V_unloc_1_region	133473	1252888	9.39	1	50
V_unloc_2	104342	864609	8.29	1	14
V_unloc_2_region	104341	864607	8.29	1	14
total	70338629	4280285930	60.85	0	4077
total_region	2584849	47782240	18.49	0	3850
