chrom	length	bases	mean	min	max
I	9758718	922336435	94.51	0	177
I_region	1368	7192	5.26	0	95
II	10440939	952176666	91.20	0	675
II_region	1828	21352	11.68	8	20
III	10624782	1001118675	94.22	0	196
III_region	176383	1950725	11.06	1	158
IV	13354744	1259029670	94.28	1	197
IV_region	17173	194709	11.34	1	163
V	9840991	952800539	96.82	0	198
V_region	1343	11551	8.60	0	98
X	11763057	1227488476	104.35	2	313
X_region	25205	186595	7.40	2	165
total	65783231	6314950461	96.00	0	675
total_region	223300	2372124	10.62	0	165
