chrom	length	bases	mean	min	max
I	7792812	501166294	64.31	0	115
I_region	49331	487896	9.89	0	53
II	8179975	537029299	65.65	1	1247
II_region	187502	2482249	13.24	1	75
III	7104590	457023843	64.33	1	103
III_region	114275	1724727	15.09	1	68
IV	8418973	532067154	63.20	1	102
IV_region	143186	1696548	11.85	1	71
V	7007619	454733833	64.89	0	316
V_region	56887	1154890	20.30	1	316
X	9242542	607464584	65.72	0	109
X_region	277571	3006605	10.83	1	74
total	47746511	3089485007	64.71	0	1247
total_region	828752	10552915	12.73	0	316
