chrom	length	bases	mean	min	max
I	9751266	769376453	78.90	0	148
I_region	40038	126624	3.16	0	100
II	10227709	881685237	86.21	0	4387
II_region	94112	466919	4.96	1	115
III	9530098	762548698	80.01	1	171
III_region	36768	676602	18.40	1	115
IV	9678298	812694135	83.97	0	295
IV_region	53381	279173	5.23	0	106
V	10899440	874215361	80.21	0	176
V_region	130234	719525	5.52	0	98
X	12161589	1172315644	96.39	0	207
X_region	26109	354901	13.59	1	136
total	62248400	5272835528	84.71	0	4387
total_region	380642	2623744	6.89	0	136
