chrom	length	bases	mean	min	max
I	8916589	1749301619	196.19	0	257
I_region	41125	2230806	54.24	0	211
II	9029974	1768646932	195.86	0	263
II_region	20548	959767	46.71	0	215
III	9635449	1891329259	196.29	0	245
III_region	29246	1302897	44.55	0	206
IV	11185017	2207960186	197.40	0	252
IV_region	38967	1534411	39.38	0	232
V	10817478	2037974836	188.40	0	3934
V_region	40645	1373768	33.80	0	193
X	11323338	2204376178	194.68	0	262
X_region	178283	7902688	44.33	0	212
total	60907845	11859589010	194.71	0	3934
total_region	348814	15304337	43.88	0	232
