Orthogroup	caenorhabditis_elegans.PRJNA13758	nxOscDolc1.1	nxOscOnir1.2	nxOscSper1.1	nxOscSpeu1.1	nxOscTipu1.1	Total
OG0000000	214	0	0	0	0	0	214
OG0000001	0	198	0	0	2	0	200
OG0000002	190	0	0	0	0	0	190
OG0000003	185	0	0	0	0	0	185
OG0000004	146	0	0	0	0	0	146
OG0000005	23	15	25	17	18	21	119
OG0000006	117	0	0	0	0	0	117
OG0000007	0	15	27	18	23	31	114
OG0000008	1	34	12	12	25	11	95
OG0000009	33	9	20	6	12	13	93
OG0000010	20	11	19	9	11	18	88
OG0000011	0	0	0	0	82	0	82
OG0000012	0	21	45	3	2	9	80
OG0000013	77	0	0	0	0	0	77
OG0000014	76	0	0	0	1	0	77
OG0000015	0	76	0	1	0	0	77
OG0000016	73	0	0	0	0	0	73
OG0000017	2	25	9	4	14	12	66
OG0000018	64	0	0	0	0	0	64
OG0000019	64	0	0	0	0	0	64
OG0000020	17	10	9	6	11	10	63
OG0000021	17	7	13	6	9	11	63
OG0000022	0	16	7	12	15	13	63
OG0000023	5	8	5	14	12	17	61
OG0000024	61	0	0	0	0	0	61
OG0000025	0	55	2	1	1	0	59
OG0000026	0	8	16	8	10	16	58
OG0000027	5	13	10	10	9	10	57
OG0000028	0	0	6	0	50	0	56
OG0000029	0	55	0	0	0	0	55
OG0000030	0	0	16	1	29	9	55
OG0000031	9	10	9	8	8	9	53
OG0000032	10	14	14	5	5	5	53
OG0000033	7	13	2	4	15	12	53
OG0000034	0	0	2	1	47	3	53
OG0000035	6	7	11	8	13	7	52
OG0000036	0	27	13	2	0	10	52
OG0000037	16	6	8	5	6	10	51
OG0000038	49	0	0	0	0	0	49
OG0000039	9	7	6	11	9	6	48
OG0000040	47	0	0	0	0	0	47
OG0000041	0	6	7	7	14	13	47
OG0000042	0	0	0	0	0	47	47
OG0000043	12	5	8	6	7	8	46
OG0000044	3	12	7	11	7	6	46
OG0000045	1	19	8	7	2	9	46
OG0000046	0	0	0	46	0	0	46
OG0000047	45	0	0	0	0	0	45
OG0000048	1	7	5	5	12	15	45
OG0000049	0	23	4	4	9	5	45
OG0000050	0	43	0	0	1	0	44
OG0000051	43	0	0	0	0	0	43
OG0000052	0	7	8	9	8	11	43
OG0000053	0	8	8	4	15	8	43
OG0000054	42	0	0	0	0	0	42
OG0000055	42	0	0	0	0	0	42
OG0000056	42	0	0	0	0	0	42
OG0000057	1	2	9	0	15	15	42
OG0000058	0	6	4	8	19	5	42
OG0000059	40	0	0	1	0	0	41
OG0000060	19	3	7	2	6	4	41
OG0000061	41	0	0	0	0	0	41
OG0000062	3	8	7	7	7	8	40
OG0000063	0	34	2	2	0	2	40
OG0000064	2	6	14	4	6	7	39
OG0000065	39	0	0	0	0	0	39
OG0000066	3	11	9	7	4	5	39
OG0000067	0	37	1	0	1	0	39
OG0000068	38	0	0	0	0	0	38
OG0000069	0	38	0	0	0	0	38
OG0000070	0	7	0	10	11	10	38
OG0000071	4	9	6	5	6	7	37
OG0000072	4	6	6	6	8	7	37
OG0000073	0	25	3	1	6	2	37
OG0000074	0	13	9	1	7	7	37
OG0000075	6	4	6	7	6	7	36
OG0000076	2	8	6	6	7	7	36
OG0000077	2	12	5	5	6	6	36
OG0000078	2	7	6	5	10	6	36
OG0000079	0	24	1	0	10	1	36
OG0000080	0	32	2	1	1	0	36
OG0000081	0	0	0	0	36	0	36
OG0000082	4	6	6	5	7	7	35
OG0000083	3	9	3	2	14	4	35
OG0000084	5	7	6	5	6	6	35
OG0000085	7	7	6	0	13	2	35
OG0000086	30	1	1	1	1	1	35
OG0000087	12	3	5	2	9	4	35
OG0000088	8	4	5	8	5	5	35
OG0000089	5	5	7	4	8	6	35
OG0000090	0	15	3	6	8	3	35
OG0000091	0	2	4	1	26	2	35
OG0000092	11	3	12	3	1	4	34
OG0000093	9	4	5	5	5	5	33
OG0000094	1	8	7	9	7	1	33
OG0000095	14	7	1	4	5	2	33
OG0000096	2	8	10	3	5	5	33
OG0000097	10	4	5	1	7	6	33
OG0000098	33	0	0	0	0	0	33
OG0000099	33	0	0	0	0	0	33
