tx	gene_id	SRX17661462	SRX17661463	SRX17661464	SRX17661465	SRX17661466	SRX17661467	SRX17661468	SRX17661469	SRX17661470	SRX17661471	SRX17661472	SRX17661473	SRX17661474	SRX17661475	SRX17661476	SRX17661477	SRX17661478	SRX17661479	SRX17661480	SRX17661481	SRX17661482	SRX17661483	SRX17661484	SRX17661485	SRX17661486	SRX17661487	SRX17661488	SRX17661489	SRX17661490	SRX17661491	SRX17661492	SRX17661493	SRX17661494	SRX17661495	SRX17661496	SRX17661497	SRX17661498	SRX17661499	SRX17661500	SRX17661501	SRX17661502	SRX17661503	SRX17661504	SRX17661505	SRX17661506	SRX17661507	SRX17661508	SRX17661509	SRX3196051	SRX3196052
g1.t1	g1	0	0	0	0	0	0	0	0	0	0	0	0	0.083495	0	0	0	0	0.239247	0	0	0	0	0	0	0	0	0	0	0	0.048515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g10.t1	g10	566.44923	781.350986	486.696663	480.54769	719.68524	408.705365	560.395957	728.658301	453.516957	627.245446	678.182883	650.579507	573.537004	73.506406	238.436166	199.849465	142.148499	118.520246	145.037121	115.820093	192.869572	190.679628	199.116676	160.357393	175.273638	679.31456	920.376266	456.845244	442.64139	814.857937	480.26958	609.429118	556.843257	40.925288	174.714523	141.271124	120.661821	435.027117	292.700286	315.398432	170.013426	215.349553	192.676622	197.861605	290.420799	289.799881	288.628908	274.919386	740.157719	837.218931
g100.t1	g100	10.348785	8.247385	15.2349	14.445127	9.380519	15.935032	15.085846	14.42226	20.499604	31.800204	36.991569	33.146332	14.589572	24.721685	21.965327	20.157652	23.364765	22.503615	14.347138	23.313151	21.985498	21.265976	22.239184	13.354168	19.434832	16.054127	22.10177	24.610633	4.433439	20.171179	34.739995	29.172513	37.665791	9.495822	22.787421	18.377064	21.204682	36.845349	15.872977	18.746771	17.906979	26.538576	19.014203	19.438161	23.970616	16.740639	10.321802	17.134926	10.931268	9.43874
g1000.t1	g1000	0.334297	0.076728	0	0.257952	0.155403	0.502377	0.050785	0.275888	0.15987	0	0.090247	0.374773	0.672416	0.622107	0.225235	0.23565	0	0	1.741829	1.439828	4.037393	1.771878	0.338884	0.148076	0	0.362361	0	0.606389	0	0.254771	0	0.27025	0	6.196601	0.790467	0	0	0	0	0	0	0	0.140023	0	0	0.558269	0	0	0	0
g10000.t1	g10000	3.528126	1.267976	1.236643	4.24493	3.397531	5.395766	5.649581	4.277032	6.739867	32.359861	48.672227	39.287412	35.911399	103.50846	46.069984	41.816543	75.731133	148.085465	109.183437	104.735937	111.346051	42.379384	35.527739	75.583564	67.501836	6.638363	11.511628	7.501424	6.928223	5.834917	18.823309	28.633571	25.488734	16.523889	57.404158	60.581747	94.309069	70.788379	43.650694	51.322127	50.812154	42.227003	43.052361	48.234833	73.095097	38.156247	24.717865	35.311978	23.999475	12.433588
g10001.t1	g10001	20.420992	18.271705	36.041061	19.280554	20.34907	29.469417	17.664118	17.638861	21.403428	25.354152	23.674103	23.711419	17.65193	24.327839	12.657234	17.974457	12.863397	25.517022	21.053961	23.137207	19.157981	24.655359	14.211213	12.136162	19.987557	20.05264	18.188174	26.537948	3.181104	19.582195	26.577723	23.342151	31.647077	16.940383	14.248459	14.783574	16.336559	25.450767	22.487625	20.745056	11.587931	10.274321	11.430717	14.482941	21.967255	18.648472	26.695278	16.764954	18.168226	57.259672
g10002.t1	g10002	38.268837	50.134159	69.655024	34.642807	36.715077	61.463733	36.384709	29.533371	34.603723	67.463182	73.158053	61.757729	82.769904	76.214342	59.566646	95.289737	49.069519	69.061416	45.595661	65.156365	42.185016	84.557823	44.557769	52.460129	47.878241	39.4326	48.314412	45.286144	85.82432	40.690976	77.837874	63.15985	77.771942	72.998121	57.103989	61.363061	59.798621	87.001163	57.780279	53.855849	77.737449	57.357537	60.339354	36.512595	34.842796	48.717691	48.576697	47.682484	48.638936	33.598317
g10003.t1	g10003	38.41699	66.451806	52.287965	38.006368	46.841942	46.410035	32.764039	49.051919	32.162266	28.64184	23.264674	29.312454	33.596633	20.817476	13.328484	13.545889	14.283497	28.891619	31.325936	28.251153	38.763049	20.061338	23.568091	25.003166	40.457267	36.272678	51.470435	32.487616	6.343937	50.208953	29.480464	25.872308	30.801318	7.224541	32.947472	33.138494	34.683187	30.131539	67.681488	57.175983	17.910819	22.520399	23.642543	26.226959	57.417462	46.034225	65.346276	47.868671	93.346455	117.020946
g10004.t1	g10004	63.958664	70.429788	59.304299	58.4684	49.020357	55.983941	49.9889	53.122099	37.876828	40.788152	29.73432	39.458674	39.08046	14.533274	18.158144	15.280381	10.796563	35.865042	39.352503	28.359598	38.444744	16.654988	24.901041	17.61628	37.42745	40.806995	49.317258	32.055625	7.356756	47.763228	28.452	38.032997	21.440987	9.984184	26.442883	21.359878	30.173141	22.539376	47.553396	48.75548	15.045935	20.438327	22.332093	22.141335	65.92321	40.456114	68.652933	46.297735	142.583683	120.131039
g10005.t1	g10005	46.958465	36.918734	75.786645	56.644412	53.314179	89.865626	51.790583	64.334251	76.424183	45.578361	41.000796	46.740878	47.749217	18.612721	38.236773	15.576798	14.497717	34.072091	43.796021	29.410315	40.739853	33.434142	24.03046	17.571575	24.409378	44.625264	52.525001	98.191435	4.619644	49.026595	86.204959	47.22672	80.333022	14.027782	27.87944	20.821565	25.806109	27.166679	34.861319	32.890293	9.428427	19.070469	12.78098	19.787854	41.966206	29.972522	45.607392	34.929782	68.849303	81.026499
