"sample","fastq_1","fastq_2","accession","run_accession","experiment_accession","sample_accession","secondary_sample_accession","study_accession","secondary_study_accession","parent_study","submission_accession","run_alias","experiment_alias","sample_alias","study_alias","library_layout","library_selection","library_source","library_strategy","library_name","instrument_model","instrument_platform","base_count","read_count","tax_id","scientific_name","sample_title","experiment_title","study_title","description","sample_description","fastq_md5","fastq_bytes","fastq_ftp","fastq_galaxy","fastq_aspera"
"SRX17661462","./fastq/SRX17661462_SRR21661757_1.fastq.gz","./fastq/SRX17661462_SRR21661757_2.fastq.gz","SAMN30952861","SRR21661757","SRX17661462","SAMN30952861","SRS15193587","PRJNA882848","SRP398487","PRJNA882836;PRJNA884467","SRA1502963","GSM6595805_r1","GSM6595805_r1","GSM6595805","GSE213885","PAIRED","cDNA","TRANSCRIPTOMIC","RNA-Seq","GSM6595805","Illumina NovaSeq 6000","ILLUMINA","11045154720","36573360","141969","Oscheius tipulae","2 cell, embryo, biol rep 1","Illumina NovaSeq 6000 sequencing; GSM6595805: 2 cell, embryo, biol rep 1; Oscheius tipulae; RNA-Seq","The Nematode Oscheius tipulae as A Genetic Model for Programmed DNA Elimination [RNA-seq]","Illumina NovaSeq 6000 sequencing; GSM6595805: 2 cell, embryo, biol rep 1; Oscheius tipulae; RNA-Seq","2 cell, embryo, biol rep 1","070eb5c0440c5dbe155bee8f86cbe60e;7eff237b206ae6ea4cc8ea6494c092d3","2326748857;2420540444","ftp.sra.ebi.ac.uk/vol1/fastq/SRR216/057/SRR21661757/SRR21661757_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR216/057/SRR21661757/SRR21661757_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR216/057/SRR21661757/SRR21661757_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR216/057/SRR21661757/SRR21661757_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR216/057/SRR21661757/SRR21661757_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR216/057/SRR21661757/SRR21661757_2.fastq.gz"
"SRX17661463","./fastq/SRX17661463_SRR21661756_1.fastq.gz","./fastq/SRX17661463_SRR21661756_2.fastq.gz","SAMN30952860","SRR21661756","SRX17661463","SAMN30952860","SRS15193588","PRJNA882848","SRP398487","PRJNA882836;PRJNA884467","SRA1502963","GSM6595806_r1","GSM6595806_r1","GSM6595806","GSE213885","PAIRED","cDNA","TRANSCRIPTOMIC","RNA-Seq","GSM6595806","Illumina NovaSeq 6000","ILLUMINA","15133796216","50111908","141969","Oscheius tipulae","2-4 cell, embryo, biol rep 1","Illumina NovaSeq 6000 sequencing; GSM6595806: 2-4 cell, embryo, biol rep 1; Oscheius tipulae; RNA-Seq","The Nematode Oscheius tipulae as A Genetic Model for Programmed DNA Elimination [RNA-seq]","Illumina NovaSeq 6000 sequencing; GSM6595806: 2-4 cell, embryo, biol rep 1; Oscheius tipulae; RNA-Seq","2-4 cell, embryo, biol rep 1","dcfcf0643907bfe75993dd832a293477;cb4bac7316af7253b9d9876926e1447f","2875637289;2815171242","ftp.sra.ebi.ac.uk/vol1/fastq/SRR216/056/SRR21661756/SRR21661756_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR216/056/SRR21661756/SRR21661756_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR216/056/SRR21661756/SRR21661756_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR216/056/SRR21661756/SRR21661756_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR216/056/SRR21661756/SRR21661756_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR216/056/SRR21661756/SRR21661756_2.fastq.gz"
"SRX17661464","./fastq/SRX17661464_SRR21661755_1.fastq.gz","./fastq/SRX17661464_SRR21661755_2.fastq.gz","SAMN30952859","SRR21661755","SRX17661464","SAMN30952859","SRS15193589","PRJNA882848","SRP398487","PRJNA882836;PRJNA884467","SRA1502963","GSM6595807_r1","GSM6595807_r1","GSM6595807","GSE213885","PAIRED","cDNA","TRANSCRIPTOMIC","RNA-Seq","GSM6595807","Illumina NovaSeq 6000","ILLUMINA","7521867190","24906845","141969","Oscheius tipulae","2-4 cell, embryo, biol rep 2","Illumina NovaSeq 6000 sequencing; GSM6595807: 2-4 cell, embryo, biol rep 2; Oscheius tipulae; RNA-Seq","The Nematode Oscheius tipulae as A Genetic Model for Programmed DNA Elimination [RNA-seq]","Illumina NovaSeq 6000 sequencing; GSM6595807: 2-4 cell, embryo, biol rep 2; Oscheius tipulae; RNA-Seq","2-4 cell, embryo, biol rep 2","2f59946452b05c990cf97831fa1eca0d;45d2bfc3bac6609b56a419c0760948c9","1256441481;1189587195","ftp.sra.ebi.ac.uk/vol1/fastq/SRR216/055/SRR21661755/SRR21661755_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR216/055/SRR21661755/SRR21661755_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR216/055/SRR21661755/SRR21661755_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR216/055/SRR21661755/SRR21661755_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR216/055/SRR21661755/SRR21661755_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR216/055/SRR21661755/SRR21661755_2.fastq.gz"
"SRX17661465","./fastq/SRX17661465_SRR21661754_1.fastq.gz","./fastq/SRX17661465_SRR21661754_2.fastq.gz","SAMN30952858","SRR21661754","SRX17661465","SAMN30952858","SRS15193590","PRJNA882848","SRP398487","PRJNA882836;PRJNA884467","SRA1502963","GSM6595808_r1","GSM6595808_r1","GSM6595808","GSE213885","PAIRED","cDNA","TRANSCRIPTOMIC","RNA-Seq","GSM6595808","Illumina NovaSeq 6000","ILLUMINA","11303322138","37428219","141969","Oscheius tipulae","2-4 cell, embryo, biol rep 3","Illumina NovaSeq 6000 sequencing; GSM6595808: 2-4 cell, embryo, biol rep 3; Oscheius tipulae; RNA-Seq","The Nematode Oscheius tipulae as A Genetic Model for Programmed DNA Elimination [RNA-seq]","Illumina NovaSeq 6000 sequencing; GSM6595808: 2-4 cell, embryo, biol rep 3; Oscheius tipulae; RNA-Seq","2-4 cell, embryo, biol rep 3","6d29f0ceca513d2e14ee3c7b57018a67;93eb4a2ac8d0c1cfe43f9588441eb7d1","2308704784;2356309191","ftp.sra.ebi.ac.uk/vol1/fastq/SRR216/054/SRR21661754/SRR21661754_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR216/054/SRR21661754/SRR21661754_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR216/054/SRR21661754/SRR21661754_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR216/054/SRR21661754/SRR21661754_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR216/054/SRR21661754/SRR21661754_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR216/054/SRR21661754/SRR21661754_2.fastq.gz"
"SRX17661466","./fastq/SRX17661466_SRR21661753_1.fastq.gz","./fastq/SRX17661466_SRR21661753_2.fastq.gz","SAMN30952857","SRR21661753","SRX17661466","SAMN30952857","SRS15193591","PRJNA882848","SRP398487","PRJNA882836;PRJNA884467","SRA1502963","GSM6595809_r1","GSM6595809_r1","GSM6595809","GSE213885","PAIRED","cDNA","TRANSCRIPTOMIC","RNA-Seq","GSM6595809","Illumina NovaSeq 6000","ILLUMINA","14280751614","47287257","141969","Oscheius tipulae","4-8 cell, embryo, biol rep 1","Illumina NovaSeq 6000 sequencing; GSM6595809: 4-8 cell, embryo, biol rep 1; Oscheius tipulae; RNA-Seq","The Nematode Oscheius tipulae as A Genetic Model for Programmed DNA Elimination [RNA-seq]","Illumina NovaSeq 6000 sequencing; GSM6595809: 4-8 cell, embryo, biol rep 1; Oscheius tipulae; RNA-Seq","4-8 cell, embryo, biol rep 1","4adac570729c55337b9b8ab3a0ef6ec5;39bb6826529ea4e46710a364c925c889","2749853481;2713576675","ftp.sra.ebi.ac.uk/vol1/fastq/SRR216/053/SRR21661753/SRR21661753_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR216/053/SRR21661753/SRR21661753_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR216/053/SRR21661753/SRR21661753_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR216/053/SRR21661753/SRR21661753_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR216/053/SRR21661753/SRR21661753_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR216/053/SRR21661753/SRR21661753_2.fastq.gz"
"SRX17661467","./fastq/SRX17661467_SRR21661752_1.fastq.gz","./fastq/SRX17661467_SRR21661752_2.fastq.gz","SAMN30952856","SRR21661752","SRX17661467","SAMN30952856","SRS15193592","PRJNA882848","SRP398487","PRJNA882836;PRJNA884467","SRA1502963","GSM6595810_r1","GSM6595810_r1","GSM6595810","GSE213885","PAIRED","cDNA","TRANSCRIPTOMIC","RNA-Seq","GSM6595810","Illumina NovaSeq 6000","ILLUMINA","6484873482","21473091","141969","Oscheius tipulae","4-8 cell, embryo, biol rep 2","Illumina NovaSeq 6000 sequencing; GSM6595810: 4-8 cell, embryo, biol rep 2; Oscheius tipulae; RNA-Seq","The Nematode Oscheius tipulae as A Genetic Model for Programmed DNA Elimination [RNA-seq]","Illumina NovaSeq 6000 sequencing; GSM6595810: 4-8 cell, embryo, biol rep 2; Oscheius tipulae; RNA-Seq","4-8 cell, embryo, biol rep 2","85dc02f12ae407a1b40379c4bd33b9a3;518bbeb78cc88be2091385739847a2fc","1113453173;1018386106","ftp.sra.ebi.ac.uk/vol1/fastq/SRR216/052/SRR21661752/SRR21661752_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR216/052/SRR21661752/SRR21661752_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR216/052/SRR21661752/SRR21661752_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR216/052/SRR21661752/SRR21661752_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR216/052/SRR21661752/SRR21661752_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR216/052/SRR21661752/SRR21661752_2.fastq.gz"
"SRX17661468","./fastq/SRX17661468_SRR21661751_1.fastq.gz","./fastq/SRX17661468_SRR21661751_2.fastq.gz","SAMN30952855","SRR21661751","SRX17661468","SAMN30952855","SRS15193593","PRJNA882848","SRP398487","PRJNA882836;PRJNA884467","SRA1502963","GSM6595811_r1","GSM6595811_r1","GSM6595811","GSE213885","PAIRED","cDNA","TRANSCRIPTOMIC","RNA-Seq","GSM6595811","Illumina NovaSeq 6000","ILLUMINA","12521564770","41462135","141969","Oscheius tipulae","4-8 cell, embryo, biol rep 3","Illumina NovaSeq 6000 sequencing; GSM6595811: 4-8 cell, embryo, biol rep 3; Oscheius tipulae; RNA-Seq","The Nematode Oscheius tipulae as A Genetic Model for Programmed DNA Elimination [RNA-seq]","Illumina NovaSeq 6000 sequencing; GSM6595811: 4-8 cell, embryo, biol rep 3; Oscheius tipulae; RNA-Seq","4-8 cell, embryo, biol rep 3","84b951fc81833550dbe159f63435a72d;ec6e881d6f8f6c0dd3edc11e144626a0","2584483604;2684785150","ftp.sra.ebi.ac.uk/vol1/fastq/SRR216/051/SRR21661751/SRR21661751_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR216/051/SRR21661751/SRR21661751_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR216/051/SRR21661751/SRR21661751_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR216/051/SRR21661751/SRR21661751_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR216/051/SRR21661751/SRR21661751_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR216/051/SRR21661751/SRR21661751_2.fastq.gz"
"SRX17661469","./fastq/SRX17661469_SRR21661750_1.fastq.gz","./fastq/SRX17661469_SRR21661750_2.fastq.gz","SAMN30952854","SRR21661750","SRX17661469","SAMN30952854","SRS15193594","PRJNA882848","SRP398487","PRJNA882836;PRJNA884467","SRA1502963","GSM6595812_r1","GSM6595812_r1","GSM6595812","GSE213885","PAIRED","cDNA","TRANSCRIPTOMIC","RNA-Seq","GSM6595812","Illumina NovaSeq 6000","ILLUMINA","17186437366","56908733","141969","Oscheius tipulae","8-16 cell, embryo, biol rep 1","Illumina NovaSeq 6000 sequencing; GSM6595812: 8-16 cell, embryo, biol rep 1; Oscheius tipulae; RNA-Seq","The Nematode Oscheius tipulae as A Genetic Model for Programmed DNA Elimination [RNA-seq]","Illumina NovaSeq 6000 sequencing; GSM6595812: 8-16 cell, embryo, biol rep 1; Oscheius tipulae; RNA-Seq","8-16 cell, embryo, biol rep 1","a7d8b171ef48ffa150fed58a23282e35;ce87952a68df2ea9f5078e626081bb21","3252044323;3181894500","ftp.sra.ebi.ac.uk/vol1/fastq/SRR216/050/SRR21661750/SRR21661750_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR216/050/SRR21661750/SRR21661750_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR216/050/SRR21661750/SRR21661750_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR216/050/SRR21661750/SRR21661750_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR216/050/SRR21661750/SRR21661750_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR216/050/SRR21661750/SRR21661750_2.fastq.gz"
"SRX17661470","./fastq/SRX17661470_SRR21661749_1.fastq.gz","./fastq/SRX17661470_SRR21661749_2.fastq.gz","SAMN30952853","SRR21661749","SRX17661470","SAMN30952853","SRS15193595","PRJNA882848","SRP398487","PRJNA882836;PRJNA884467","SRA1502963","GSM6595813_r1","GSM6595813_r1","GSM6595813","GSE213885","PAIRED","cDNA","TRANSCRIPTOMIC","RNA-Seq","GSM6595813","Illumina NovaSeq 6000","ILLUMINA","27617129598","91447449","141969","Oscheius tipulae","8-16 cell, embryo, biol rep 2","Illumina NovaSeq 6000 sequencing; GSM6595813: 8-16 cell, embryo, biol rep 2; Oscheius tipulae; RNA-Seq","The Nematode Oscheius tipulae as A Genetic Model for Programmed DNA Elimination [RNA-seq]","Illumina NovaSeq 6000 sequencing; GSM6595813: 8-16 cell, embryo, biol rep 2; Oscheius tipulae; RNA-Seq","8-16 cell, embryo, biol rep 2","6a72c8c6c2438ca917bca3f58e2ec82f;f5c6b8cce5052a13f3ee6cec9a49c4e6","5426682995;5367410492","ftp.sra.ebi.ac.uk/vol1/fastq/SRR216/049/SRR21661749/SRR21661749_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR216/049/SRR21661749/SRR21661749_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR216/049/SRR21661749/SRR21661749_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR216/049/SRR21661749/SRR21661749_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR216/049/SRR21661749/SRR21661749_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR216/049/SRR21661749/SRR21661749_2.fastq.gz"
"SRX17661471","./fastq/SRX17661471_SRR21661748_1.fastq.gz","./fastq/SRX17661471_SRR21661748_2.fastq.gz","SAMN30952844","SRR21661748","SRX17661471","SAMN30952844","SRS15193596","PRJNA882848","SRP398487","PRJNA882836;PRJNA884467","SRA1502963","GSM6595822_r1","GSM6595822_r1","GSM6595822","GSE213885","PAIRED","cDNA","TRANSCRIPTOMIC","RNA-Seq","GSM6595822","Illumina NovaSeq 6000","ILLUMINA","9008178914","29828407","141969","Oscheius tipulae","64-128 cell, embryo, biol rep 2","Illumina NovaSeq 6000 sequencing; GSM6595822: 64-128 cell, embryo, biol rep 2; Oscheius tipulae; RNA-Seq","The Nematode Oscheius tipulae as A Genetic Model for Programmed DNA Elimination [RNA-seq]","Illumina NovaSeq 6000 sequencing; GSM6595822: 64-128 cell, embryo, biol rep 2; Oscheius tipulae; RNA-Seq","64-128 cell, embryo, biol rep 2","53496d58ead9090d728b84f8edf48da2;a9104a7d8a572958889cdc66fcb76960","1861951435;1904258061","ftp.sra.ebi.ac.uk/vol1/fastq/SRR216/048/SRR21661748/SRR21661748_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR216/048/SRR21661748/SRR21661748_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR216/048/SRR21661748/SRR21661748_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR216/048/SRR21661748/SRR21661748_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR216/048/SRR21661748/SRR21661748_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR216/048/SRR21661748/SRR21661748_2.fastq.gz"
