strain	telomeric_contigs	telomeric_reads	coverage	span	N50	busco_dups	repr_mode
DF5018	34	2189	52.9	119.84	1.38	27.1	G
DF5033	10	417	12.2	75.21	1.25	7.1	G
DF5120	15	1136	63.9	48.15	7.8	2.5	H
EUK108	24	1308	38.5	328.05	0.41	59.5	G
JU1182	26	6063	199.9	65.41	7.34	2.3	H
JU1382	23	3419	83.8	62.61	5.38	2.9	H
JU992	17	1130	52.3	123.89	0.82	3.3	H
PS1017	26	1141	59.8	70.36	6.36	2.5	H
PS2068	13	2131	79.3	18.22	0.04	1.9	H
SB133	2	172	5.7	74.24	0.1	1.9	H
SB144	18	1232	27.6	192.12	2.48	25.7	G
SB147	17	925	26.9	341.58	2.1	39.4	G
SB194	28	4876	120.1	101.21	5.56	22.1	G
SB394	17	1256	32.2	282.73	2.24	27.7	G
YEW1	15	687	19.6	325.02	0.42	42.1	G
CEW1			320.0	60.2	9.64	2.1	H
