sample	total	nSeqs	N50	auN
DF5018	5753243783	511806	12364	12855
DF5033	984786511	104345	12219	12300
DF5120	3091600337	287019	11827	12189
EUK108	14197774840	1170278	13199	13530
JU1182	13369474735	1242658	11291	11557
JU1382	5274101700	484326	12504	12742
JU992	6764626412	649937	10943	11258
PS1017	4294064280	385432	11650	11914
PS2068	5110665702	445130	12096	12615
SB133	437716686	55310	8293	8641
SB144	6125582234	804030	9691	10069
SB147	9610562933	934049	11180	11513
SB194	12515931984	1405699	9571	10096
SB394	9406277882	1031909	9994	10235
YEW1	6846925658	828990	10487	10875
