sample	total	nSeqs	N50	auN
DF5018	7510915256	694317	12093	12529
DF5033	1079809930	114858	12204	12283
DF5120	5544050720	498494	12130	12476
EUK108	15245826516	1263847	13162	13486
JU1182	13760572458	1279801	11285	11551
JU1382	8801032244	765614	12872	13132
JU3779	5032070996	414945	14299	14527
JU992	7355450406	705911	10950	11269
NIC2055	13208859842	847111	16589	16890
PS1017	4390325085	394562	11643	11908
PS2068	10801040319	976950	11711	12187
SB133	463320739	58599	8296	8640
SB144	7272491031	926692	10126	10364
SB147	10025580034	973735	11195	11526
SB194	14357053421	1585494	9774	10275
SB394	9738137607	1064532	10025	10268
YEW1	7773121414	936673	10537	10907
