chr	diminution_pos	feature	type	has_GRS
I	0	chr_end	distal	no
I	2982874	telomere_seq_split	internal	yes
I	3019287	telomere_seq_split	internal	yes
I	9747643	telomere_seq_split	distal	yes
II	20402	telomere_seq_split	distal	yes
II	7323673	telomere_seq_split	internal	yes
II	7392426	telomere_seq_split	internal	yes
II	10222753	telomere_seq_split	distal	yes
III	5335	telomere_seq_split	distal	yes
III	5644107	telomere_seq_split	internal	yes
III	5644109	telomere_seq_split	internal	no
III	9498668	telomere_seq_split	distal	yes
IV	5067	telomere_seq_split	distal	yes
IV	2573831	gap	internal	yes
IV	2621654	telomere_seq_split	internal	yes
IV	6701995	telomere_seq_split	internal	yes
IV	6701996	telomere_seq_split	internal	no
IV	9677810	telomere_seq_split	distal	yes
V	89533	telomere_seq_split	distal	yes
V	4685181	telomere_seq_split	internal	yes
V	4685570	telomere_seq_split	internal	yes
V	10859129	telomere_seq_split	distal	yes
X	3078	telomere_seq_split	distal	yes
X	1325005	telomere_seq_split	internal	no
X	1325007	telomere_seq_split	internal	yes
X	6339633	telomere_seq_split	internal	yes
X	6341932	telomere_seq_split	internal	yes
X	7669427	telomere_seq_split	internal	yes
X	7673180	should_be_gap_although_can_be_recovered_from_a_single_read	internal	no
X	9264411	telomere_seq_split	internal	yes
X	9264669	telomere_seq_split	internal	yes
X	12145074	telomere_seq_split	distal	yes
