assembler	file	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50
hifiasm	/lustre/scratch116/tol/projects/tol-nemotodes/BlaxGeNe8769965/analyses/assemblies/raw/hifiasm/hifiasm.p_ctg.faFASTA	DNA	1168	252503631	5306	216184.6	9865216	24254	38864	94327	0	2388820
hifiasm	/lustre/scratch116/tol/projects/tol-nemotodes/BlaxGeNe8769969/analyses/assemblies/raw/hifiasm/hifiasm.p_ctg.faFASTA	DNA	494	91331452	7302	184881.5	4549761	33352	51616	128713	0	6351550
hifiasm	/lustre/scratch116/tol/projects/tol-nemotodes/BlaxGeNe8769971/analyses/assemblies/raw/hifiasm/hifiasm.p_ctg.faFASTA	DNA	1457	391606348	7971	268775.8	8393583	24862	35734	76152	0	1989820
hifiasm	/lustre/scratch116/tol/projects/tol-nemotodes/BlaxGeNe8769972/analyses/assemblies/raw/hifiasm/hifiasm.p_ctg.faFASTA	DNA	200	80051990	14067	400260	8250737	27759	36885	54837	0	5043490
hifiasm	/lustre/scratch116/tol/projects/tol-nemotodes/BlaxGeNe8769973/analyses/assemblies/raw/hifiasm/hifiasm.p_ctg.faFASTA	DNA	3647	410665061	10787	112603.5	5206310	30892	39536	70347	0	3575140
hifiasm	/lustre/scratch116/tol/projects/tol-nemotodes/BlaxGeNe8769974/analyses/assemblies/raw/hifiasm/hifiasm.p_ctg.faFASTA	DNA	1317	337059571	9040	255929.8	8976349	23870	37044	85718	0	2171420
redbean	/lustre/scratch116/tol/projects/tol-nemotodes/BlaxGeNe8769965/analyses/assemblies/raw/redbean/redbean.cns.fa	DNA	1779	196150073	1890	110258.6	4137493	9962	22523	61860	0	6837200
redbean	/lustre/scratch116/tol/projects/tol-nemotodes/BlaxGeNe8769969/analyses/assemblies/raw/redbean/redbean.cns.fa	DNA	625	77544401	2015	124071	3496613	10838	25475	98293	0	4476040
redbean	/lustre/scratch116/tol/projects/tol-nemotodes/BlaxGeNe8769971/analyses/assemblies/raw/redbean/redbean.cns.fa	DNA	2311	272246299	1578	117804.5	4164543	12063	25194	73167	0	5639220
redbean	/lustre/scratch116/tol/projects/tol-nemotodes/BlaxGeNe8769972/analyses/assemblies/raw/redbean/redbean.cns.fa	DNA	325	72444107	4794	222904.9	10664421	8266	14124	29126	0	2398466
redbean	/lustre/scratch116/tol/projects/tol-nemotodes/BlaxGeNe8769973/analyses/assemblies/raw/redbean/redbean.cns.fa	DNA	2522	208136044	963	82528.2	5143698	13450	22787	50684	0	456356
redbean	/lustre/scratch116/tol/projects/tol-nemotodes/BlaxGeNe8769974/analyses/assemblies/raw/redbean/redbean.cns.fa	DNA	2088	250798520	1930	120114.2	8065063	10731	19905	52673	0	8711540
flyemeta	/lustre/scratch116/tol/projects/tol-nemotodes/BlaxGeNe8769965/analyses/assemblies/raw/flyemeta/assembly.fasta	DNA	1735	226693467	537	130659.1	4599278	15165	35622	85446	0	6120990
flyemeta	/lustre/scratch116/tol/projects/tol-nemotodes/BlaxGeNe8769969/analyses/assemblies/raw/flyemeta/assembly.fasta	DNA	443	79650470	582	179797.9	3024110	24529	53221	148730	0	5307220
flyemeta	/lustre/scratch116/tol/projects/tol-nemotodes/BlaxGeNe8769971/analyses/assemblies/raw/flyemeta/assembly.fasta	DNA	3030	354149535	124	116881	6247182	17654	36769	86297	0	4343350
flyemeta	/lustre/scratch116/tol/projects/tol-nemotodes/BlaxGeNe8769972/analyses/assemblies/raw/flyemeta/assembly.fasta	DNA	137	76891174	879	561249.4	7037441	31225	47902	81334	0	5044250
flye	/lustre/scratch116/tol/projects/tol-nemotodes/BlaxGeNe8769965/analyses/assemblies/raw/flye/assembly.fasta	DNA	931	136393592	498	146502.2	3491740	23348	47952	123182	0	4733170
flye	/lustre/scratch116/tol/projects/tol-nemotodes/BlaxGeNe8769969/analyses/assemblies/raw/flye/assembly.fasta	DNA	510	75388460	499	147820.5	2700405	31954	62814	143639	0	3651460
flye	/lustre/scratch116/tol/projects/tol-nemotodes/BlaxGeNe8769972/analyses/assemblies/raw/flye/assembly.fasta	DNA	21	68539583	5328	3263789.7	8270994	214381	3396562	5437424	0	5727000
