chr	diminution_pos	feature	type	has_GRS
I	240737	telomere_seq_split	distal	yes
I	4118066	telomere_seq_split	internal	yes
I	4136867	telomere_seq_split	internal	yes
I	11141772	telomere_seq_split	distal	yes
II	66942	telomere_seq_split	distal	yes
II	6413004	telomere_seq_split	internal	yes
II	6427035	telomere_seq_split	internal	yes
II	10473507	telomere_seq_split	distal	yes
III	91404	telomere_seq_split	distal	yes
III	4635267	telomere_seq_split	internal	yes
III	4662007	telomere_seq_split	internal	yes
III	10758308	telomere_seq_split	distal	yes
IV	233890	telomere_seq_split	distal	yes
IV	5184372	telomere_seq_split	internal	yes
IV	5184373	telomere_seq_split	internal	no
IV	12459186	telomere_seq_split_but_no_coverage_drop	distal	no
V	161662	telomere_seq_split	distal	yes
V	6451708	telomere_seq_split	internal	yes
V	6471566	telomere_seq_split	internal	yes
V	11191265	telomere_seq_split	distal	yes
X	44875	telomere_seq_split	distal	yes
X	3801810	telomere_seq_split	internal	yes
X	3823170	telomere_seq_split	internal	yes
X	3852350	telomere_seq_split	internal	yes
X	3889445	telomere_seq_split	internal	yes
X	6684099	telomere_seq_split	internal	yes
X	6684101	telomere_seq_split	internal	no
X	12574656	telomere_seq_split	distal	yes
