assembly	chr	diminution_pos	telo_orient	precise_support	for_coord	feature	type
nxOscDolc1.1	I	1	L	0	yes	chr_end	distal
nxOscDolc1.1	I	240737	L	32	yes	telomere_seq_split	distal
nxOscDolc1.1	I	4118065	R	45	yes	telomere_seq_split	internal
nxOscDolc1.1	I	4136867	L	47	yes	telomere_seq_split	internal
nxOscDolc1.1	I	11141771	R	24	yes	telomere_seq_split	distal
nxOscDolc1.1	I	11571861	R	0	yes	chr_end	distal
nxOscDolc1.1	II	1	L	0	yes	chr_end	distal
nxOscDolc1.1	II	66942	L	18	yes	telomere_seq_split	distal
nxOscDolc1.1	II	6413003	R	37	yes	telomere_seq_split	internal
nxOscDolc1.1	II	6427035	L	36	yes	telomere_seq_split	internal
nxOscDolc1.1	II	10473506	R	30	yes	telomere_seq_split	distal
nxOscDolc1.1	II	10664372	R	0	yes	chr_end	distal
nxOscDolc1.1	III	1	L	0	yes	chr_end	distal
nxOscDolc1.1	III	91404	L	31	yes	telomere_seq_split	distal
nxOscDolc1.1	III	4635266	R	37	yes	telomere_seq_split	internal
nxOscDolc1.1	III	4662007	L	37	yes	telomere_seq_split	internal
nxOscDolc1.1	III	10758307	R	18	yes	telomere_seq_split	distal
nxOscDolc1.1	III	10992003	R	0	yes	chr_end	distal
nxOscDolc1.1	IV	1	L	0	yes	chr_end	distal
nxOscDolc1.1	IV	233890	L	29	yes	telomere_seq_split	distal
nxOscDolc1.1	IV	5184371	R	34	yes	telomere_seq_split	internal
nxOscDolc1.1	IV	5184373	L	42	yes	telomere_seq_split	internal
nxOscDolc1.1	IV	12464839	R	0	yes	chr_end	distal
nxOscDolc1.1	IV	12464839	R	0	yes	chr_end	distal
nxOscDolc1.1	V	1	L	0	yes	chr_end	distal
nxOscDolc1.1	V	161662	L	10	yes	telomere_seq_split	distal
nxOscDolc1.1	V	6451707	R	27	yes	telomere_seq_split	internal
nxOscDolc1.1	V	6471566	L	34	yes	telomere_seq_split	internal
nxOscDolc1.1	V	11191264	R	23	yes	telomere_seq_split	distal
nxOscDolc1.1	V	11207553	R	0	yes	chr_end	distal
nxOscDolc1.1	X	1	L	0	yes	chr_end	distal
nxOscDolc1.1	X	44875	L	35	yes	telomere_seq_split	distal
nxOscDolc1.1	X	3801809	R	24	yes	telomere_seq_split	internal
nxOscDolc1.1	X	3823169	R	15	yes	telomere_seq_split	internal
nxOscDolc1.1	X	3852350	L	15	yes	telomere_seq_split	internal
nxOscDolc1.1	X	3889445	L	20	yes	telomere_seq_split	internal
nxOscDolc1.1	X	6684098	R	22	yes	telomere_seq_split	internal
nxOscDolc1.1	X	6684101	L	21	yes	telomere_seq_split	internal
nxOscDolc1.1	X	12574655	R	43	yes	telomere_seq_split	distal
nxOscDolc1.1	X	12760602	R	0	yes	chr_end	distal
nxOscOnir1.2	I	1	L	0	yes	chr_end	distal
nxOscOnir1.2	I	81	L	71	yes	telomere_seq_split	distal
nxOscOnir1.2	I	9757430	R	129	yes	telomere_seq_split	distal
nxOscOnir1.2	I	9758718	R	0	yes	chr_end	distal
nxOscOnir1.2	II	1	L	0	yes	chr_end	distal
nxOscOnir1.2	II	1	L	0	yes	chr_end	distal
nxOscOnir1.2	II	10439111	R	135	yes	telomere_seq_split	distal
nxOscOnir1.2	II	10440939	R	0	yes	chr_end	distal
nxOscOnir1.2	III	1	L	0	yes	chr_end	distal
nxOscOnir1.2	III	976	L	142	yes	telomere_seq_split	distal
nxOscOnir1.2	III	10449374	R	152	yes	telomere_seq_split	distal
nxOscOnir1.2	III	10624782	R	0	yes	chr_end	distal
nxOscOnir1.2	IV	1	L	0	yes	chr_end	distal
nxOscOnir1.2	IV	4092	L	153	yes	telomere_seq_split	distal
nxOscOnir1.2	IV	13341662	R	139	yes	telomere_seq_split	distal
nxOscOnir1.2	IV	13354744	R	0	yes	chr_end	distal
nxOscOnir1.2	V	1	L	0	yes	chr_end	distal
nxOscOnir1.2	V	1344	L	87	yes	telomere_seq_split	distal
nxOscOnir1.2	V	9840991	R	0	yes	chr_end	distal
nxOscOnir1.2	V	9840991	R	0	yes	chr_end	distal
nxOscOnir1.2	X	1	L	0	yes	chr_end	distal
nxOscOnir1.2	X	5948	L	153	yes	telomere_seq_split	distal
nxOscOnir1.2	X	11743799	R	163	yes	telomere_seq_split	distal
nxOscOnir1.2	X	11763057	R	0	yes	chr_end	distal
nxOscSper1.1	I	1	L	0	yes	chr_end	distal
nxOscSper1.1	I	37486	L	46	yes	telomere_seq_split	distal
nxOscSper1.1	I	7780966	R	74	yes	telomere_seq_split	distal
nxOscSper1.1	I	7792812	R	0	yes	chr_end	distal
nxOscSper1.1	II	1	L	0	yes	chr_end	distal
nxOscSper1.1	II	187503	L	69	yes	telomere_seq_split	distal
nxOscSper1.1	II	8179975	R	0	yes	chr_end	distal
nxOscSper1.1	II	8179975	R	0	yes	chr_end	distal
nxOscSper1.1	III	1	L	0	yes	chr_end	distal
nxOscSper1.1	III	61998	L	55	yes	telomere_seq_split	distal
nxOscSper1.1	III	7052312	R	53	yes	telomere_seq_split	distal
nxOscSper1.1	III	7104590	R	0	yes	chr_end	distal
nxOscSper1.1	IV	1	L	0	yes	chr_end	distal
nxOscSper1.1	IV	73741	L	62	yes	telomere_seq_split	distal
nxOscSper1.1	IV	8349527	R	72	yes	telomere_seq_split	distal
nxOscSper1.1	IV	8418973	R	0	yes	chr_end	distal
nxOscSper1.1	V	1	L	0	yes	chr_end	distal
nxOscSper1.1	V	38134	L	66	yes	telomere_seq_split	distal
nxOscSper1.1	V	6988865	R	60	yes	telomere_seq_split	distal
nxOscSper1.1	V	7007619	R	0	yes	chr_end	distal
nxOscSper1.1	X	1	L	0	yes	chr_end	distal
nxOscSper1.1	X	142252	L	53	yes	telomere_seq_split	distal
nxOscSper1.1	X	2337533	R	51	yes	telomere_seq_split	internal
nxOscSper1.1	X	2434254	L	62	yes	telomere_seq_split	internal
nxOscSper1.1	X	4766408	R	44	yes	telomere_seq_split	internal
nxOscSper1.1	X	4778739	L	64	yes	telomere_seq_split	internal
nxOscSper1.1	X	9216274	R	62	yes	telomere_seq_split	distal
