ptg000005l	I	81	L	60	4	213
ptg000022l	I	484	L	60	7	2380
ptg000004l	I	9757431	R	60	-6	240
ptg000021l	I	9758719	R	60	313	1650
ptg000014l	II	701915	R	1	0	3375
ptg000009l	II	10439112	R	60	0	192
ptg000010l	II	10440940	R	60	469	1990
ptg000003l	III	976	L	60	4	174
ptg000007l	III	10449375	R	60	-1	186
ptg000020l	III	10624783	R	60	1488	1369
ptg000013l	III	10624783	R	60	1897	2239
ptg000002l	IV	1	L	60	-18	2016
ptg000012l	IV	4092	L	60	7	207
ptg000019l	IV	13341663	R	60	-1	221
ptg000018l	IV	13354745	R	60	65	1288
ptg000006l	V	1	L	60	-1469	2251
ptg000001l	V	1344	L	60	7	268
ptg000017l	V	9840992	R	60	10375	314
ptg000023l	X	5948	L	60	1	238
ptg000011l	X	11743800	R	60	-6	213
