assembly	telotig	telotig_length	mdn_cov	perc_mdn_cov	telo_clip_map_pos	chrom	mapd_with_telo_on_side	telo_start	telo_end	telo_length	non_telo_length	rRNA_start	rRNA_end	rRNA_strand
nxOscDolc1.1	ptg000013l	33647	4.2	13.82	112264	V_unloc_1	R	0	25704	25704	7943	NA	NA	NA
nxOscDolc1.1	ptg000022l	28503	3.28	10.79	152765	I_unloc_1	R	12185	28503	16317	12186	NA	NA	NA
nxOscDolc1.1	ptg000005l	20224	9.67	31.81	18846	III_unloc_1	L	5988	20224	14236	5988	NA	NA	NA
nxOscDolc1.1	ptg000038l	23070	5.69	18.72	10664373	II	R	11369	23070	11701	11369	NA	NA	NA
nxOscDolc1.1	ptg000029l	22338	4.31	14.18	1	IV	L	11266	22338	11071	11267	NA	NA	NA
nxOscDolc1.1	ptg000030l	16162	11.03	36.28	39782	II_unloc_1	L	5935	16162	10227	5935	NA	NA	NA
nxOscDolc1.1	ptg000001l	24868	26.04	85.66	12464840	IV	R	15036	24868	9832	15036	1378	13791	plus
nxOscDolc1.1	ptg000020l	17927	4.08	13.42	10992004	III	R	10734	17927	7193	10734	NA	NA	NA
nxOscDolc1.1	ptg000034l	17192	1.46	4.8	12455891	X	L	10209	17192	6983	10209	NA	NA	NA
nxOscDolc1.1	ptg000015l	23817	11.57	38.06	6684099	X	R	21956	23817	1859	21958	NA	NA	NA
nxOscDolc1.1	ptg000031l	17366	26.2	86.18	11191265	V	R	15563	17358	1792	15574	NA	NA	NA
nxOscDolc1.1	ptg000026l	18528	16.87	55.49	6451708	V	R	5	1741	1736	16792	NA	NA	NA
nxOscDolc1.1	ptg000025l	19454	26.82	88.22	4118066	I	R	17751	19454	1703	17751	NA	NA	NA
nxOscDolc1.1	ptg000032l	17048	30.4	100	4136867	I	L	15447	17039	1592	15456	NA	NA	NA
nxOscDolc1.1	ptg000007l	12875	8.91	29.31	161662	V	L	0	1544	1544	11331	NA	NA	NA
nxOscDolc1.1	ptg000037l	14852	12.52	41.18	3823170	X	R	13318	14852	1533	13319	NA	NA	NA
nxOscDolc1.1	ptg000040l	19268	20.35	66.94	10473507	II	R	0	1531	1531	17737	NA	NA	NA
