chr	diminution_pos	feature	type	has_GRS
I	27185	telomere_seq_split	distal	yes
I	8860881	telomere_seq_split	distal	yes
II	25181	telomere_seq_split	distal	yes
II	8999761	telomere_seq_split	distal	yes
III	16299	telomere_seq_split	distal	yes
III	9596330	telomere_seq_split	distal	yes
IV	39783	telomere_seq_split	distal	yes
IV	11179848	telomere_seq_split	distal	yes
V	30664	telomere_seq_split	distal	yes
V	10783457	telomere_seq_split	distal	yes
X	51846	telomere_seq_split	distal	yes
X	11175686	telomere_seq_split	distal	yes
