assembly	chr	start	end
nxOscDolc1.1	chr_I	1	240737
nxOscDolc1.1	chr_I	4118065	4136867
nxOscDolc1.1	chr_I	11141771	11571861
nxOscDolc1.1	chr_II	1	66942
nxOscDolc1.1	chr_II	6413003	6427035
nxOscDolc1.1	chr_II	10473506	10664372
nxOscDolc1.1	chr_III	1	91404
nxOscDolc1.1	chr_III	4635266	4662007
nxOscDolc1.1	chr_III	10758307	10992003
nxOscDolc1.1	chr_IV	1	233890
nxOscDolc1.1	chr_IV	5184371	5184373
nxOscDolc1.1	chr_IV	12459187	12464839
nxOscDolc1.1	chr_V	1	1
nxOscDolc1.1	chr_V	6451707	6471566
nxOscDolc1.1	chr_V	11191264	11207553
nxOscDolc1.1	chr_X	1	44875
nxOscDolc1.1	chr_X	3801809	3823169
nxOscDolc1.1	chr_X	3823169	3852350
nxOscDolc1.1	chr_X	3852350	3889445
nxOscDolc1.1	chr_X	6684098	6684101
nxOscDolc1.1	chr_X	12574655	12760602
nxOscOnir1.2	I	1	81
nxOscOnir1.2	I	9757430	9758718
nxOscOnir1.2	II	1	1
nxOscOnir1.2	II	10439111	10440939
nxOscOnir1.2	III	1	976
nxOscOnir1.2	III	10449374	10624782
nxOscOnir1.2	IV	1	4092
nxOscOnir1.2	IV	13341662	13354744
nxOscOnir1.2	V	1	1344
nxOscOnir1.2	V	9840991	9840991
nxOscOnir1.2	X	1	5948
nxOscOnir1.2	X	11743799	11763057
nxOscSper1.1	I	1	37486
nxOscSper1.1	I	7780966	7792812
nxOscSper1.1	II	1	187503
nxOscSper1.1	II	8179975	8179975
nxOscSper1.1	III	1	61998
nxOscSper1.1	III	7052312	7104590
nxOscSper1.1	IV	1	73741
nxOscSper1.1	IV	8349527	8418973
nxOscSper1.1	V	1	38134
nxOscSper1.1	V	6988865	7007619
nxOscSper1.1	X	1	142252
nxOscSper1.1	X	2337533	2434254
nxOscSper1.1	X	4766408	4778739
nxOscSper1.1	X	9216274	9242542
nxOscSpeu1.1	I	1	1
nxOscSpeu1.1	I	2982873	3019287
nxOscSpeu1.1	I	9747642	9751266
nxOscSpeu1.1	II	1	20402
nxOscSpeu1.1	II	7323672	7392426
nxOscSpeu1.1	II	10222752	10227709
nxOscSpeu1.1	III	1	5335
nxOscSpeu1.1	III	5644106	5644109
nxOscSpeu1.1	III	9498667	9530098
nxOscSpeu1.1	IV	1	5067
nxOscSpeu1.1	IV	2573830	2621654
nxOscSpeu1.1	IV	6701994	6701996
nxOscSpeu1.1	IV	9677809	9678298
nxOscSpeu1.1	V	1	89533
nxOscSpeu1.1	V	4685180	4685570
nxOscSpeu1.1	V	10859128	10899440
nxOscSpeu1.1	X	1	3078
nxOscSpeu1.1	X	1325004	1325007
nxOscSpeu1.1	X	6339632	6341932
nxOscSpeu1.1	X	7669426	7673380
nxOscSpeu1.1	X	9264410	9264669
nxOscSpeu1.1	X	12145073	12161589
nxOscTipu1.1	I	1	27185
nxOscTipu1.1	I	8860880	8916589
nxOscTipu1.1	II	1	25181
nxOscTipu1.1	II	8999760	9029974
nxOscTipu1.1	III	1	16299
nxOscTipu1.1	III	9596329	9635449
nxOscTipu1.1	IV	1	39783
nxOscTipu1.1	IV	11179847	11185017
nxOscTipu1.1	V	1	30664
nxOscTipu1.1	V	10783456	10817478
nxOscTipu1.1	X	1	51846
nxOscTipu1.1	X	11175685	11323338
