AAA_14	PF13173.9	AAA domain	Cele_C11G6.2.1  	2.5e-06	4	103	24	140
AAA_16	PF13191.9	AAA ATPase domain	OspJU_8761_t  	5.3e-06	10	63	2108	2160
AAA_16	PF13191.9	AAA ATPase domain	Cele_Y116F11A.1.2  	6.9e-07	6	59	26	82
AAA_19	PF13245.9	AAA domain	OspDF_g20002.t1  	2.6e-12	7	145	1543	1694
AAA_19	PF13245.9	AAA domain	C_nigo_PIC54537.1  	2.6e-12	8	145	261	394
AAA_19	PF13245.9	AAA domain	C_brig_XP_002638798.1  	3.4e-12	8	145	261	394
AAA_19	PF13245.9	AAA domain	Cele_Y18H1A.6a.1  	2.4e-11	9	145	260	391
AAA_19	PF13245.9	AAA domain	Odoli_5431_t  	3e-11	3	145	236	372
AAA_19	PF13245.9	AAA domain	P_paci_KAF8360407.1  	2e-11	12	145	231	359
AAA_19	PF13245.9	AAA domain	C_bren_EGT36565.1  	2e-11	10	145	269	399
AAA_19	PF13245.9	AAA domain	D_pachys_PAV69746.1  	5.7e-11	8	145	1999	2143
AAA_19	PF13245.9	AAA domain	A_JU17_CAH6623411.1  	4.5e-11	7	145	227	360
AAA_19	PF13245.9	AAA domain	C_rema_KAF1769571.1  	4.7e-11	9	145	266	397
AAA_19	PF13245.9	AAA domain	C_rema_XP_003102134.1  	5.1e-10	12	145	244	384
AAA_19	PF13245.9	AAA domain	OspJU_g20001.t1  	4.9e-08	13	144	2701	2861
AAA_19	PF13245.9	AAA domain	Cele_Y116F11A.1.2  	2.9e-10	10	142	44	170
AAA_19	PF13245.9	AAA domain	Otipu_g20000.t1  	4.2e-10	4	122	239	342
AAA_19	PF13245.9	AAA domain	Odoli_12860_t  	6.6e-10	10	145	1736	1878
AAA_19	PF13245.9	AAA domain	Odoli_12912_t  	6.6e-10	10	145	1736	1878
AAA_19	PF13245.9	AAA domain	Odoli_2964_t  	6.6e-10	10	145	1736	1878
AAA_19	PF13245.9	AAA domain	Odoli_12845_t  	7.1e-10	10	145	1736	1878
AAA_19	PF13245.9	AAA domain	Odoli_2967_t  	7.5e-10	10	145	1736	1878
AAA_19	PF13245.9	AAA domain	OspJU_g20000.t1  	3.5e-09	3	145	229	354
AAA_19	PF13245.9	AAA domain	Odoli_17328_t  	8.4e-10	10	145	1736	1878
AAA_19	PF13245.9	AAA domain	C_aur_CAD6200327.1  	1.2e-09	8	145	82	226
AAA_19	PF13245.9	AAA domain	D_mela_NP_608782.1  	1.4e-09	8	145	217	348
AAA_19	PF13245.9	AAA domain	X_trop_NP_001016603.1  	6.3e-10	7	145	219	351
AAA_19	PF13245.9	AAA domain	H_cont_CDJ81285.1  	9.4e-10	8	145	229	354
AAA_19	PF13245.9	AAA domain	C_bovi_CAB3404341.1  	9.3e-10	8	145	530	662
AAA_19	PF13245.9	AAA domain	C_auri_CAD6195583.1  	1e-09	10	145	244	375
AAA_19	PF13245.9	AAA domain	C_rema_XP_003091273.1  	2.5e-09	13	145	1896	2039
AAA_19	PF13245.9	AAA domain	D_reri_NP_942102.1  	2.1e-09	6	145	216	350
AAA_19	PF13245.9	AAA domain	C_bre_EGT48478.1  	1.5e-08	16	145	1327	1469
AAA_19	PF13245.9	AAA domain	OspDF_g20001.t1  	6.4e-09	7	132	551	662
AAA_19	PF13245.9	AAA domain	Cele_C11G6.2.1  	7.3e-09	9	142	21	148
AAA_19	PF13245.9	AAA domain	Odoli_12657_t  	1.8e-08	10	143	1537	1668
AAA_19	PF13245.9	AAA domain	G_gall_XP_426648.4  	1.1e-08	7	145	180	312
AAA_19	PF13245.9	AAA domain	Odoli_12885_t  	1.9e-08	10	145	404	537
AAA_19	PF13245.9	AAA domain	OspJU_8763_t  	1.1e-07	13	144	2256	2416
AAA_19	PF13245.9	AAA domain	H_sapi_NP_001273425.1  	5.9e-08	6	145	216	350
AAA_19	PF13245.9	AAA domain	Odoli_g20001.t1  	1.2e-07	12	145	1836	1979
AAA_19	PF13245.9	AAA domain	OspJU_8761_t  	7.9e-08	13	144	2126	2286
AAA_19	PF13245.9	AAA domain	Odoli_8859_t  	1.1e-07	12	145	1568	1711
AAA_19	PF13245.9	AAA domain	Odoli_713_t  	9.3e-08	10	145	924	1057
AAA_19	PF13245.9	AAA domain	M_phar_XP_028045493.2  	1.4e-07	13	145	2073	2208
AAA_19	PF13245.9	AAA domain	Odoli_11904_t  	1.1e-07	11	145	943	1075
AAA_19	PF13245.9	AAA domain	Odoli_3251_t  	2e-07	10	145	180	313
AAA_19	PF13245.9	AAA domain	Otipu_g20003.t1  	3.6e-06	12	144	1094	1231
AAA_19	PF13245.9	AAA domain	C_nig_PIC43140.1  	8.3e-07	14	145	2673	2865
AAA_19	PF13245.9	AAA domain	C_nigo_A0A2G5UUE0  	8.3e-07	14	145	2673	2865
AAA_19	PF13245.9	AAA domain	Otipu_g20005.t1  	7.3e-06	12	144	1702	1839
