Orthogroup	caenorhabditis_elegans.PRJNA13758	nxOscDolc1.1	nxOscOnir1.2	nxOscSper1.1	nxOscSpeu1.1	nxOscTipu1.1
OG0015034	Y48B6A.7.1					
OG0015035	F09E5.13.1					
OG0015036	C35A5.1.1					
OG0015037	ZK632.8.1					
OG0015038	F45E4.1.1					
OG0015039	C50B8.2.1					
OG0015040	C09G5.6.1					
OG0015041	M02B7.6a.1					
OG0015042	K06A5.7.1					
OG0015043	R05H5.2.1					
OG0015044	ZK652.5.1					
OG0015045	F17A2.5.1					
OG0015046	T26C11.5.1					
OG0015047	F52B5.5a.1					
OG0015048	C18C4.2.1					
OG0015049	C50F7.2.1					
OG0015050	R09B5.3a.2					
OG0015051	R09B5.8.1					
OG0015052	W01B6.7.1					
OG0015053	F54B11.1.1					
OG0015054	F11G11.11.1					
OG0015055	ZK863.2.1					
OG0015056	T28F2.6.2					
OG0015057	T28F2.8.1					
OG0015058	D1007.2.2					
OG0015059	T08B2.2.1					
OG0015060	F26B1.4.1					
OG0015061	ZK265.2.1					
OG0015062	F52F12.2.1					
OG0015063	Y49F6B.10.1					
OG0015064	F38A3.1.1					
OG0015065	F33A8.9.1					
OG0015066	Y81G3A.5a.1					
OG0015067	Y39G8C.4.1					
OG0015068	F17C8.2.1					
OG0015069	F09G8.6.1					
OG0015070	C18H7.3.1					
OG0015071	Y77E11A.15.1					
OG0015072	F29B9.9a.1					
OG0015073	D2024.8.1					
OG0015074	Y42H9B.1.1					
OG0015075	F17E9.1.1					
OG0015076	T11B7.3a.1					
OG0015077	Y11D7A.11.1					
OG0015078	T05A1.2.1					
OG0015079	C39E9.9.1					
OG0015080	F41F3.4.1					
OG0015081	F17C11.3.1					
OG0015082	F41C6.5.1					
OG0015083	F02D10.1.1					
OG0015084	C30F2.1.1					
OG0015085	C30B5.3.2					
OG0015086	AH9.2.1					
OG0015087	Y48E1B.12.1					
OG0015088	MTCE.21.1					
OG0015089	C37H5.4.1					
OG0015090	D1009.2.2					
OG0015091	T27D1.1.1					
OG0015092	F25E2.5d.1					
OG0015093	F01G10.8b.1					
OG0015094	T05G5.12.2					
OG0015095	T05F1.10.1					
OG0015096	C45B11.3.1					
OG0015097	H27M09.4.1					
OG0015098	F16B12.2.1					
OG0015099	Y105E8A.7d.3					
OG0015100	F15A2.5.1					
OG0015101	F56H11.3.1					
OG0015102	F58E10.2.1					
OG0015103	R09B3.1a.2					
OG0015104	Y67H2A.8.1					
OG0015105	C01F6.4a.1					
OG0015106	F41G3.4.1					
OG0015107	ZC455.10.1					
OG0015108	T06C10.4.1					
OG0015109	M79.4.1					
OG0015110	Y54E10A.4b.1					
OG0015111	F31B12.3.1					
OG0015112	C05C8.4.1					
OG0015113	K01C8.5.2					
OG0015114	F45E4.10b.1					
OG0015115	C54C8.11a.1					
OG0015116	F38E1.5.1					
OG0015117	F53B1.7.1					
OG0015118	F56H9.4b.1					
OG0015119	C55H1.2.1					
OG0015120	F18E2.5b.1					
OG0015121	B0207.3.1					
OG0015122	T18H9.1b.1					
OG0015123	F46H5.6.1					
OG0015124	F09D12.1.1					
OG0015125	Y69A2AL.1.1					
OG0015126	F32D1.4a.1					
OG0015127	ZC168.5.1					
OG0015128	W03A5.3.1					
OG0015129	F11E6.2.1					
OG0015130	F11G11.3.1					
OG0015131	R05F9.5.1					
OG0015132	C02A12.1.1					
OG0015133	C14F11.3.1					
OG0015134	ZK622.2.1					
OG0015135	C30G7.1.1					
OG0015136	C01B10.5b.1					
OG0015137	T05E8.2.1					
OG0015138	D1086.4a.1					
