chrom	length	bases	mean	min	max
ptg000001l	24868	647595	26.04	0	57
ptg000002l	18315	413599	22.58	0	35
ptg000003l	16910	423685	25.06	0	39
ptg000004l	20036	289241	14.44	1	25
ptg000005l	20224	195521	9.67	0	20
ptg000006l	18172	275499	15.16	0	23
ptg000007l	12875	114660	8.91	0	11
ptg000008l	16010	303851	18.98	0	25
ptg000009l	21864	494812	22.63	1	42
ptg000010l	17973	470293	26.17	0	38
ptg000011l	16951	197057	11.63	1	17
ptg000012l	19655	474260	24.13	0	38
ptg000013l	33647	141441	4.20	0	9
ptg000014l	16761	184110	10.98	0	15
ptg000015l	23817	275577	11.57	0	24
ptg000016l	19543	456619	23.36	0	36
ptg000017l	16442	187314	11.39	1	16
ptg000018l	18875	439005	23.26	1	40
ptg000019l	18698	434132	23.22	1	36
ptg000020l	17927	73109	4.08	0	9
ptg000021l	17911	503968	28.14	1	48
ptg000022l	28503	93385	3.28	0	8
ptg000025l	19454	521716	26.82	0	46
ptg000026l	18528	312562	16.87	0	28
ptg000028l	20042	265452	13.24	0	22
ptg000029l	22338	96274	4.31	0	8
ptg000030l	16162	178298	11.03	0	15
ptg000031l	17366	454929	26.20	1	125
ptg000032l	17048	518222	30.40	0	47
ptg000033l	21948	381443	17.38	0	32
ptg000034l	17192	25077	1.46	0	2
ptg000037l	14852	185881	12.52	0	17
ptg000038l	23070	131234	5.69	0	12
ptg000039l	18337	323139	17.62	1	28
ptg000040l	19268	392162	20.35	0	35
ptg000041l	19363	364457	18.82	0	31
total	700945	11239579	16.03	0	125
