seqnames	ID	assembly	Sequence	tID	gshortIds	newgID
nxOscDolc1.1_III	ID=5819_t;Parent=5819_g;gene_id=5819_g;transcript_id=5819_t	nxOscDolc1.1	III	5819_t	Odoli	Odoli_5819_t
nxOscDolc1.1_III	ID=5820_t;Parent=5820_g;gene_id=5820_g;transcript_id=5820_t	nxOscDolc1.1	III	5820_t	Odoli	Odoli_5820_t
nxOscDolc1.1_III	ID=5821_t;Parent=5821_g;gene_id=5821_g;transcript_id=5821_t	nxOscDolc1.1	III	5821_t	Odoli	Odoli_5821_t
nxOscDolc1.1_III	ID=5822_t;Parent=5822_g;gene_id=5822_g;transcript_id=5822_t	nxOscDolc1.1	III	5822_t	Odoli	Odoli_5822_t
nxOscDolc1.1_III	ID=5823_t;Parent=5823_g;gene_id=5823_g;transcript_id=5823_t	nxOscDolc1.1	III	5823_t	Odoli	Odoli_5823_t
nxOscDolc1.1_III	ID=5824_t;Parent=5824_g;gene_id=5824_g;transcript_id=5824_t	nxOscDolc1.1	III	5824_t	Odoli	Odoli_5824_t
nxOscDolc1.1_III	ID=5825_t;Parent=5825_g;gene_id=5825_g;transcript_id=5825_t	nxOscDolc1.1	III	5825_t	Odoli	Odoli_5825_t
nxOscDolc1.1_III	ID=7155_t;Parent=7155_g;gene_id=7155_g;transcript_id=7155_t	nxOscDolc1.1	III	7155_t	Odoli	Odoli_7155_t
nxOscDolc1.1_III	ID=7156_t;Parent=7156_g;gene_id=7156_g;transcript_id=7156_t	nxOscDolc1.1	III	7156_t	Odoli	Odoli_7156_t
nxOscDolc1.1_III	ID=7157_t;Parent=7157_g;gene_id=7157_g;transcript_id=7157_t	nxOscDolc1.1	III	7157_t	Odoli	Odoli_7157_t
nxOscDolc1.1_III	ID=7158_t;Parent=7158_g;gene_id=7158_g;transcript_id=7158_t	nxOscDolc1.1	III	7158_t	Odoli	Odoli_7158_t
nxOscDolc1.1_III	ID=7159_t;Parent=7159_g;gene_id=7159_g;transcript_id=7159_t	nxOscDolc1.1	III	7159_t	Odoli	Odoli_7159_t
nxOscDolc1.1_III	ID=7160_t;Parent=7160_g;gene_id=7160_g;transcript_id=7160_t	nxOscDolc1.1	III	7160_t	Odoli	Odoli_7160_t
nxOscDolc1.1_III	ID=7161_t;Parent=7161_g;gene_id=7161_g;transcript_id=7161_t	nxOscDolc1.1	III	7161_t	Odoli	Odoli_7161_t
nxOscDolc1.1_III	ID=7162_t;Parent=7162_g;gene_id=7162_g;transcript_id=7162_t	nxOscDolc1.1	III	7162_t	Odoli	Odoli_7162_t
nxOscDolc1.1_X	ID=16047_t;Parent=16047_g;gene_id=16047_g;transcript_id=16047_t	nxOscDolc1.1	X	16047_t	Odoli	Odoli_16047_t
nxOscDolc1.1_X	ID=16048_t;Parent=16048_g;gene_id=16048_g;transcript_id=16048_t	nxOscDolc1.1	X	16048_t	Odoli	Odoli_16048_t
nxOscDolc1.1_X	ID=16049_t;Parent=16049_g;gene_id=16049_g;transcript_id=16049_t	nxOscDolc1.1	X	16049_t	Odoli	Odoli_16049_t
nxOscDolc1.1_X	ID=16050_t;Parent=16050_g;gene_id=16050_g;transcript_id=16050_t	nxOscDolc1.1	X	16050_t	Odoli	Odoli_16050_t
nxOscDolc1.1_X	ID=16051_t;Parent=16051_g;gene_id=16051_g;transcript_id=16051_t	nxOscDolc1.1	X	16051_t	Odoli	Odoli_16051_t
nxOscDolc1.1_X	ID=16052_t;Parent=16052_g;gene_id=16052_g;transcript_id=16052_t	nxOscDolc1.1	X	16052_t	Odoli	Odoli_16052_t
nxOscDolc1.1_X	ID=16053_t;Parent=16053_g;gene_id=16053_g;transcript_id=16053_t	nxOscDolc1.1	X	16053_t	Odoli	Odoli_16053_t
nxOscDolc1.1_X	ID=16054_t;Parent=16054_g;gene_id=16054_g;transcript_id=16054_t	nxOscDolc1.1	X	16054_t	Odoli	Odoli_16054_t
nxOscDolc1.1_X	ID=16055_t;Parent=16055_g;gene_id=16055_g;transcript_id=16055_t	nxOscDolc1.1	X	16055_t	Odoli	Odoli_16055_t
nxOscDolc1.1_X	ID=16056_t;Parent=16056_g;gene_id=16056_g;transcript_id=16056_t	nxOscDolc1.1	X	16056_t	Odoli	Odoli_16056_t
nxOscDolc1.1_X	ID=16057_t;Parent=16057_g;gene_id=16057_g;transcript_id=16057_t	nxOscDolc1.1	X	16057_t	Odoli	Odoli_16057_t
nxOscDolc1.1_X	ID=16058_t;Parent=16058_g;gene_id=16058_g;transcript_id=16058_t	nxOscDolc1.1	X	16058_t	Odoli	Odoli_16058_t
nxOscDolc1.1_X	ID=16059_t;Parent=16059_g;gene_id=16059_g;transcript_id=16059_t	nxOscDolc1.1	X	16059_t	Odoli	Odoli_16059_t
nxOscDolc1.1_X	ID=16060_t;Parent=16060_g;gene_id=16060_g;transcript_id=16060_t	nxOscDolc1.1	X	16060_t	Odoli	Odoli_16060_t
nxOscDolc1.1_X	ID=16061_t;Parent=16061_g;gene_id=16061_g;transcript_id=16061_t	nxOscDolc1.1	X	16061_t	Odoli	Odoli_16061_t
nxOscDolc1.1_X	ID=16062_t;Parent=16062_g;gene_id=16062_g;transcript_id=16062_t	nxOscDolc1.1	X	16062_t	Odoli	Odoli_16062_t
nxOscDolc1.1_X	ID=16063_t;Parent=16063_g;gene_id=16063_g;transcript_id=16063_t	nxOscDolc1.1	X	16063_t	Odoli	Odoli_16063_t
nxOscDolc1.1_X	ID=16064_t;Parent=16064_g;gene_id=16064_g;transcript_id=16064_t	nxOscDolc1.1	X	16064_t	Odoli	Odoli_16064_t
nxOscDolc1.1_X	ID=16065_t;Parent=16065_g;gene_id=16065_g;transcript_id=16065_t	nxOscDolc1.1	X	16065_t	Odoli	Odoli_16065_t
nxOscDolc1.1_X	ID=16776_t;Parent=16776_g;gene_id=16776_g;transcript_id=16776_t	nxOscDolc1.1	X	16776_t	Odoli	Odoli_16776_t
nxOscDolc1.1_X	ID=18218_t;Parent=18218_g;gene_id=18218_g;transcript_id=18218_t	nxOscDolc1.1	X	18218_t	Odoli	Odoli_18218_t
nxOscDolc1.1_X	ID=18219_t;Parent=18219_g;gene_id=18219_g;transcript_id=18219_t	nxOscDolc1.1	X	18219_t	Odoli	Odoli_18219_t
nxOscDolc1.1_X	ID=18220_t;Parent=18220_g;gene_id=18220_g;transcript_id=18220_t	nxOscDolc1.1	X	18220_t	Odoli	Odoli_18220_t
nxOscDolc1.1_X	ID=18221_t;Parent=18221_g;gene_id=18221_g;transcript_id=18221_t	nxOscDolc1.1	X	18221_t	Odoli	Odoli_18221_t
nxOscDolc1.1_II	ID=4775_t;Parent=4775_g;gene_id=4775_g;transcript_id=4775_t	nxOscDolc1.1	II	4775_t	Odoli	Odoli_4775_t
nxOscDolc1.1_II	ID=4776_t;Parent=4776_g;gene_id=4776_g;transcript_id=4776_t	nxOscDolc1.1	II	4776_t	Odoli	Odoli_4776_t
nxOscDolc1.1_II	ID=4777_t;Parent=4777_g;gene_id=4777_g;transcript_id=4777_t	nxOscDolc1.1	II	4777_t	Odoli	Odoli_4777_t
nxOscDolc1.1_II	ID=5816_t;Parent=5816_g;gene_id=5816_g;transcript_id=5816_t	nxOscDolc1.1	II	5816_t	Odoli	Odoli_5816_t
nxOscDolc1.1_II	ID=5817_t;Parent=5817_g;gene_id=5817_g;transcript_id=5817_t	nxOscDolc1.1	II	5817_t	Odoli	Odoli_5817_t
nxOscDolc1.1_II	ID=5818_t;Parent=5818_g;gene_id=5818_g;transcript_id=5818_t	nxOscDolc1.1	II	5818_t	Odoli	Odoli_5818_t
nxOscDolc1.1_IV	ID=8869_t;Parent=8869_g;gene_id=8869_g;transcript_id=8869_t	nxOscDolc1.1	IV	8869_t	Odoli	Odoli_8869_t
nxOscDolc1.1_IV	ID=8870_t;Parent=8870_g;gene_id=8870_g;transcript_id=8870_t	nxOscDolc1.1	IV	8870_t	Odoli	Odoli_8870_t
nxOscDolc1.1_IV	ID=8871_t;Parent=8871_g;gene_id=8871_g;transcript_id=8871_t	nxOscDolc1.1	IV	8871_t	Odoli	Odoli_8871_t
nxOscDolc1.1_V	ID=12374_t;Parent=12374_g;gene_id=12374_g;transcript_id=12374_t	nxOscDolc1.1	V	12374_t	Odoli	Odoli_12374_t
nxOscDolc1.1_V	ID=12375_t;Parent=12375_g;gene_id=12375_g;transcript_id=12375_t	nxOscDolc1.1	V	12375_t	Odoli	Odoli_12375_t
nxOscDolc1.1_V	ID=12376_t;Parent=12376_g;gene_id=12376_g;transcript_id=12376_t	nxOscDolc1.1	V	12376_t	Odoli	Odoli_12376_t
nxOscDolc1.1_V	ID=12377_t;Parent=12377_g;gene_id=12377_g;transcript_id=12377_t	nxOscDolc1.1	V	12377_t	Odoli	Odoli_12377_t
nxOscDolc1.1_V	ID=12378_t;Parent=12378_g;gene_id=12378_g;transcript_id=12378_t	nxOscDolc1.1	V	12378_t	Odoli	Odoli_12378_t
