assembly	chr	start	end	aa_len	transcript_id	interpro_ids	interpro_info	celeg_symbol	celeg_id	celeg_Description	celeg_aa_len	qcovs	pident	evalue	bitscore	celeg_chr
nxOscDolc1.1	I	239317	243025	467	1_t	IPR001666, IPR027856, IPR023393, NA	Phosphatidylinositol transfer protein, Protein of unknown function DUF4573, START-like domain superfamily, NA	Y71G12B.17	Y71G12B.17	Predicted to enable phospholipid binding activity and phospholipid transporter activity. Predicted to be involved in intermembrane lipid transfer and phospholipid transport. Predicted to be located in cytoplasm. Is an ortholog of human PITPNA (phosphatidylinositol transfer protein alpha) and PITPNB (phosphatidylinositol transfer protein beta).	272	57	59.925	3.16e-115	339	I
nxOscDolc1.1	I	4120080	4120466	103	1042_t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	I	4123191	4123571	105	1043_t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	I	4123904	4125108	216	1044_t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	I	4127736	4128299	187	1045_t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	I	4129338	4131410	555	1046_t	IPR036691, IPR000477, NA	Endonuclease/exonuclease/phosphatase superfamily, Reverse transcriptase domain, NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	I	4131440	4133360	123	1047_t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	I	4134166	4135439	306	1048_t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	I	11142096	11142647	129	3087_t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	I	11143919	11146194	534	3088_t	IPR003107, IPR011990, NA	HAT (Half-A-TPR) repeat, Tetratricopeptide-like helical domain superfamily, NA	prp-6	Y59A8B.6	Predicted to be involved in spliceosomal tri-snRNP complex assembly. Predicted to be located in nucleus. Predicted to be part of U4/U6 x U5 tri-snRNP complex and catalytic step 2 spliceosome. Human ortholog(s) of this gene implicated in retinitis pigmentosa 60. Is an ortholog of human PRPF6 (pre-mRNA processing factor 6).	968	98	52.492	0	596	V
nxOscDolc1.1	I	11146694	11151605	580	3089_t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	II	6413363	6414391	199	4775_t	IPR013783, NA	Immunoglobulin-like fold, NA	ssp-31	ZK1225.6	Enriched in AFD; amphid sheath cell; intestine; sperm; and in male based on RNA-seq and microarray studies. Is affected by several genes including daf-2; age-1; and dpy-10 based on microarray; tiling array; RNA-seq; and proteomic studies. Is affected by fifteen chemicals including methylmercuric chloride; rotenone; and manganese chloride based on microarray and RNA-seq studies. Is predicted to encode a protein with the following domains: MSP (Major sperm protein) domain; Major sperm protein (MSP) domain; PapD-like superfamily; and Immunoglobulin-like fold.	107	25	52	2.42e-12	60.8	I
nxOscDolc1.1	II	6415546	6419279	740	4776_t	IPR000719, IPR011009, NA	Protein kinase domain, Protein kinase-like domain superfamily, NA	C39H7.1	C39H7.1	Predicted to enable protein serine/threonine kinase activity. Predicted to be involved in peptidyl-serine phosphorylation and signal transduction. Predicted to be located in cytoplasm and nucleus. Human ortholog(s) of this gene implicated in spinocerebellar ataxia type 11. Is an ortholog of human TTBK1 (tau tubulin kinase 1) and TTBK2 (tau tubulin kinase 2).	308	27	36.364	3.29e-41	153	IV
nxOscDolc1.1	II	6420236	6426333	1351	4777_t	IPR003392, IPR000731, NA	Protein patched/dispatched, Sterol-sensing domain, NA	ptc-1	ZK675.1a	ptc-1 encodes an ortholog of Drosophila PATCHED (PTC) and human PTCH which defines one of seven paralogous families of sterol sensing domain (SSD) proteins; PTC-1 is required for cytokinesis in the germline, but not in somatic cells (the converse of PTR-2's function, and a role conserved in C. briggsae); PTC-1 is also required to isolate meiotic germline nuclei from one another so that their nuclear divisions are asynchronous; PTC-1 is (very weakly) required for normal molting; PTC-1 protein is found in the membranes of all germline cells except sperm; ptc-1 transcripts are present in germline, very early (2- and 4-cell) embryos, and in the germline precursor P4; ptc-1 null mutants have normal somatic tissues, but are sterile with multinucleate oocytes; murine PTCH is found in midbodies by mass tandem spectroscopy, indicating that PTC-1's function in cytokinesis may be conserved among metazoa; since PTC-1 has an SSD, PTC-1's core function may be to transport proteins, lipids, or sterols.	1408	96	59.398	0	1649	II
nxOscDolc1.1	II	10487327	10494126	643	5816_t	NA	NA	F54H12.2	F54H12.2	Predicted to enable ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor. Predicted to be involved in deoxyribonucleotide biosynthetic process. Predicted to be located in cytosol.	419	22	34.483	1.01e-16	82.8	III
