start	end	width	strand	source	type	score	phase	assembly	Sequence	newgID
1973284	1977743	4460	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	III	Odoli_6317_t
1980158	1981082	925	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	III	Odoli_6318_t
1981339	1981964	626	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	III	Odoli_6319_t
1982416	1983976	1561	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	III	Odoli_6320_t
1984359	1984966	608	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	III	Odoli_6321_t
1985295	1985753	459	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	III	Odoli_6322_t
4112440	4126942	14503	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	III	Odoli_6992_t
4127301	4128933	1633	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	III	Odoli_6993_t
4129969	4134332	4364	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	III	Odoli_6994_t
461585	467491	5907	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	X	Odoli_15221_t
473245	475707	2463	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	X	Odoli_15222_t
477597	479075	1479	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	X	Odoli_15223_t
481357	482066	710	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	X	Odoli_15224_t
2072982	2073657	676	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	X	Odoli_15606_t
2076585	2077365	781	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	X	Odoli_15607_t
2077873	2078861	989	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	X	Odoli_15608_t
5965485	5967700	2216	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	X	Odoli_16580_t
5968564	5969513	950	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	X	Odoli_16581_t
5971581	5972796	1216	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	X	Odoli_16582_t
5974085	5975331	1247	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	X	Odoli_16583_t
6155124	6156344	1221	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	X	Odoli_16626_t
6156598	6157851	1254	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	X	Odoli_16627_t
6158285	6158678	394	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	X	Odoli_16628_t
6160881	6161589	709	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	X	Odoli_16629_t
6161634	6164651	3018	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	X	Odoli_16630_t
6376976	6377654	679	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	X	Odoli_16690_t
6377832	6379397	1566	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	X	Odoli_16691_t
6382789	6383640	852	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	X	Odoli_16692_t
6384683	6385289	607	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	X	Odoli_16693_t
6387557	6396182	8626	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	X	Odoli_16694_t
7726675	7730075	3401	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	X	Odoli_17004_t
7731217	7733526	2310	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	X	Odoli_17005_t
7734773	7738982	4210	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	X	Odoli_17006_t
10766263	10767017	755	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	X	Odoli_17721_t
10767357	10769322	1966	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	X	Odoli_17722_t
10770115	10771888	1774	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	X	Odoli_17723_t
10772135	10773995	1861	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	X	Odoli_17724_t
10778509	10779192	684	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	X	Odoli_17725_t
2942150	2948885	6736	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	II	Odoli_3647_t
2949069	2952993	3925	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	II	Odoli_3648_t
2953961	2954469	509	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	II	Odoli_3649_t
3305484	3308963	3480	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	II	Odoli_3746_t
4407760	4408155	396	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	II	Odoli_4102_t
4408307	4409002	696	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	II	Odoli_4103_t
4410576	4411401	826	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	II	Odoli_4104_t
4411567	4414175	2609	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	II	Odoli_4105_t
4414533	4417280	2748	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	II	Odoli_4106_t
4417620	4419321	1702	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	II	Odoli_4107_t
4419963	4423608	3646	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	II	Odoli_4108_t
4423736	4424929	1194	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	II	Odoli_4109_t
4438688	4439693	1006	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	II	Odoli_4115_t
4440372	4444257	3886	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	II	Odoli_4116_t
4444338	4444811	474	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	II	Odoli_4117_t
4445652	4448503	2852	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	II	Odoli_4118_t
4448773	4450361	1589	+	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	II	Odoli_4119_t
4450506	4451177	672	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	II	Odoli_4120_t
4452443	4459532	7090	-	GeneMark.hmm3	mRNA	.	.	nxOscDolc1.1	II	Odoli_4121_t
