chrom	length	bases	mean	min	max
ptg000001l	23582	911752	38.66	1	77
ptg000002l	22913	728398	31.79	1	61
ptg000003l	21291	522544	24.54	1	51
ptg000004l	20395	625149	30.65	0	51
ptg000005l	23459	882590	37.62	0	71
ptg000006l	23478	899287	38.30	1	76
ptg000007l	21719	672614	30.97	1	57
ptg000008l	22228	663698	29.86	1	59
ptg000009l	17868	91931	5.15	0	11
ptg000010l	22094	588528	26.64	1	48
ptg000011l	21361	735638	34.44	0	65
ptg000012l	22988	945383	41.13	1	78
ptg000013l	16575	108105	6.52	1	9
ptg000014l	21098	130126	6.17	1	8
ptg000015l	23873	217539	9.11	1	16
ptg000016l	22308	183102	8.21	1	14
ptg000017l	19784	128032	6.47	1	10
ptg000018l	20379	83619	4.10	1	7
ptg000019l	17216	123503	7.17	1	10
ptg000020l	23628	867685	36.72	0	66
ptg000021l	25183	655432	26.03	0	57
ptg000022l	18316	778008	42.48	1	68
ptg000023l	22369	759834	33.97	1	68
ptg000024l	19730	157410	7.98	1	14
ptg000025l	19391	93641	4.83	1	8
ptg000026l	11716	50411	4.30	1	5
ptg000027l	26270	849888	32.35	1	69
total	571212	13453847	23.55	0	78
