#line	motif	seq	start	end	strand	seqLen	querybp	mRatio	m	mm	i	d
1	telomere	6b223161-a391-4bbc-be50-0f7ffbcf3633	0	613	-	22647	606	98.5%	605	0	8	1
5	telomere	0fa3c1b3-12c9-49fe-b764-63dbb3ebf9b1	0	10207	-	13404	10511	93.8%	9973	110	124	428
9	telomere	0fa3c1b3-12c9-49fe-b764-63dbb3ebf9b1	10426	13404	-	13404	3054	91.7%	2863	46	69	145
13	telomere	866aebd0-0dfc-4b9e-95c2-7899d538f85f	0	807	-	11483	803	99.0%	801	0	6	2
17	telomere	12595ad8-2bfa-42ff-ba5e-202e6df93398	29607	29689	+	29689	82	97.6%	80	2	0	0
21	telomere	bd3cb9be-e3a2-4702-87a8-fb01d97aadc8	0	941	-	19685	939	99.8%	939	0	2	0
25	telomere	c9130cbb-3354-42b4-bb7e-33e0d3f15569	0	605	-	22339	600	98.2%	596	2	7	2
29	telomere	2695d95c-da18-4468-b17a-86ef6bef46fc	14984	15924	+	16246	1001	91.6%	921	15	4	65
33	telomere	2695d95c-da18-4468-b17a-86ef6bef46fc	16054	16244	+	16246	192	99.0%	190	0	0	2
37	telomere	642156dc-094c-49a5-b2e6-7003c393272f	7	536	-	6343	536	96.5%	523	0	6	13
41	telomere	14c9eaa3-9261-4329-a230-63bca49a74ce	0	1329	-	5876	1338	98.1%	1320	1	8	17
45	telomere	ccbf29bc-3607-4aaf-a370-2c41e4cd84ff	20206	20259	+	20267	53	96.2%	51	2	0	0
49	telomere	ecb1ea7c-fbb9-4ee6-a8b1-1726f6496462	0	1075	-	5509	1083	95.2%	1050	5	20	28
53	telomere	35decac4-4a8f-4237-9980-06e1c7c17257	26	869	-	11244	865	94.5%	826	8	9	31
57	telomere	adff415e-42f6-4ce3-82a9-377e56faab6f	24222	24369	+	24369	150	97.3%	146	1	0	3
61	telomere	2ef899b1-a976-4687-bca5-3f8519a26d47	18311	18410	+	18410	103	92.2%	95	4	0	4
65	telomere	c4e68ee5-7011-4062-b229-44daae002b21	25471	25569	+	25571	101	96.0%	97	1	0	3
69	telomere	eec23e91-ad13-4a19-9fa4-9a448bf6cf90	8033	8353	+	8353	335	91.7%	308	11	1	16
73	telomere	b544ee27-84df-4f9d-809f-e8029d5b1f12	12061	12132	+	12162	71	98.6%	70	1	0	0
77	telomere	2f3b9415-5fa1-4c77-aa0b-21f9cf694f84	0	17557	-	28540	17584	98.9%	17472	5	80	107
81	telomere	4bc71ec9-2d91-4927-bbb4-fa4d4c5989db	6	869	-	10444	866	97.4%	851	4	8	11
85	telomere	5f688fd2-4dac-4192-92d9-a6e5e2ff8813	26	1228	-	12575	1219	98.1%	1198	2	2	19
89	telomere	c9d46acd-bcaa-440e-8cce-16eabc289a5b	0	540	-	19775	537	99.3%	536	1	3	0
93	telomere	1b27d754-9731-4fc9-b146-a57b1e68bc28	33145	33224	+	33224	83	94.0%	78	1	0	4
97	telomere	b91b00c0-5caf-4ef9-abe0-17839a1614b4	0	864	-	34322	864	98.8%	859	0	5	5
101	telomere	744c81e8-45e4-4872-846c-b2ff34fbc3c2	22216	22359	+	22387	143	98.6%	142	0	1	1
105	telomere	d9771c1f-1de1-412b-b5f4-6fbc368d1841	22117	22519	+	22519	410	90.2%	378	15	9	17
109	telomere	b6d09e3b-6603-46ce-9dfc-bda522c6154a	10712	13134	+	18962	2645	89.3%	2370	42	10	233
113	telomere	b6d09e3b-6603-46ce-9dfc-bda522c6154a	13198	13923	+	18962	778	91.7%	714	10	1	54
117	telomere	b6d09e3b-6603-46ce-9dfc-bda522c6154a	14055	14616	+	18962	594	93.1%	553	8	0	33
121	telomere	b6d09e3b-6603-46ce-9dfc-bda522c6154a	14721	15196	+	18962	498	93.2%	466	7	2	25
125	telomere	b6d09e3b-6603-46ce-9dfc-bda522c6154a	15356	16838	+	18962	1606	90.1%	1451	26	5	129
129	telomere	b6d09e3b-6603-46ce-9dfc-bda522c6154a	16919	17859	+	18962	1027	88.4%	913	21	6	93
133	telomere	b6d09e3b-6603-46ce-9dfc-bda522c6154a	18074	18962	+	18962	954	90.6%	869	14	5	71
137	telomere	657e76a1-42e1-427d-83bb-8ef2d8caa02a	4169	4232	+	4265	64	96.9%	62	1	0	1
141	telomere	451d44de-0aca-4242-8e19-5ca8b22730e3	1	1679	-	5927	1692	97.7%	1664	3	11	25
145	telomere	03a0a464-d54d-4c2c-87a9-9e8a0794ded9	0	696	-	29122	689	98.1%	686	0	10	3
149	telomere	4408048b-cc1f-49f9-80ec-ddeb833a8e5a	7640	8898	+	8898	1368	89.5%	1228	26	4	114
153	telomere	e0bcca5b-5df8-4d6f-9883-cb7c9adb9c4f	10	908	-	13082	888	98.1%	884	1	13	3
157	telomere	35f5e688-3ad2-40e0-a927-cb3649e2869c	17988	18179	+	18185	191	99.0%	189	2	0	0
161	telomere	341aa447-e789-45a8-83ad-4e3b35beb374	0	740	-	16773	738	98.7%	734	0	6	4
165	telomere	6d5b9006-4289-4111-80a5-084d590978e6	19917	20055	+	20055	144	91.7%	133	4	1	7
169	telomere	be0f5b74-7246-4663-99b8-5855b50209f9	0	671	-	5430	668	98.2%	663	1	7	4
173	telomere	0bb7136a-5cbe-4722-a7b0-107e73ca6490	0	1026	-	8838	1029	99.3%	1024	0	2	5
177	telomere	246c440d-7660-4f44-b255-214571a2af0d	16105	16164	+	16168	59	98.3%	58	1	0	0
181	telomere	28abb141-6f3c-490f-ad9d-eb7fbef4a0a0	22472	22647	+	22647	177	94.9%	169	5	1	3
185	telomere	2c21f51f-3211-43a2-8cfc-34c9fe7cd0a0	2	1180	-	20029	1220	93.0%	1149	13	16	58
189	telomere	8d7b907f-9c52-43ce-b044-cc32e5fc1897	8200	9481	+	9872	1361	91.6%	1249	30	2	82
193	telomere	8d7b907f-9c52-43ce-b044-cc32e5fc1897	9573	9872	+	9872	316	90.0%	287	9	3	20
197	telomere	c932ca61-92c8-4125-8711-fe3212eef4c3	29362	29631	+	29631	281	92.6%	262	5	2	14
201	telomere	b1a94596-c3e9-41a1-b9b7-d82a9d85be05	19724	19843	+	19861	119	99.2%	118	1	0	0
205	telomere	96b2d146-3dfe-42f3-8e93-c59536128853	0	554	-	29612	549	99.1%	549	0	5	0
209	telomere	3dd4d0d2-169f-4acd-b2eb-75dc97acaa95	3	712	-	10944	703	97.3%	696	1	12	6
213	telomere	09299816-836b-438d-b662-45faa32f79a4	0	880	-	12511	883	98.8%	876	0	4	7
217	telomere	f1ad7046-81e1-42ad-9ea4-7e3a35ef95c3	5770	5906	+	5906	145	91.7%	133	3	0	9
221	telomere	0fca6d20-18b2-4a08-abd8-609b788d9c32	16	1315	-	33080	1303	99.1%	1295	0	4	8
225	telomere	8edcabb6-f03e-4f58-bc12-63557d52e4dc	0	17027	-	17027	17121	98.4%	16935	10	82	176
229	telomere	9ab53c76-c3f6-44b8-bf4b-50ff1d3b329a	11	712	-	8434	705	98.3%	696	2	3	7
233	telomere	33e8eafa-acb9-47f7-a51f-62fa5e3196b7	0	1604	-	18481	1609	98.5%	1594	1	9	14
237	telomere	034ca46c-ebb0-4646-9e7b-6a9325935176	0	641	-	19077	630	98.0%	629	0	12	1
241	telomere	6baedeff-3b05-4cc9-80ba-bc6230ca9f7b	1	1399	-	9836	1411	98.4%	1392	3	3	16
245	telomere	abeb0f66-044d-41f0-a74c-8ee5782aa0bd	0	1118	-	20347	1130	98.9%	1118	0	0	12
249	telomere	a5ab8bab-8237-41e2-ae89-0a80f5daf7e6	8	1041	-	30718	1037	97.3%	1021	0	12	16
253	telomere	68a711ca-b27c-4a25-ac33-db1f4f4fb0f0	0	1078	-	11004	1092	95.4%	1057	5	16	30
257	telomere	284263e1-156d-480b-932e-2907a9b504c8	20428	20676	+	20676	255	93.4%	240	6	2	9
261	telomere	851115c7-755c-4bc7-9552-1ba142625193	1	848	-	15112	851	96.9%	832	7	8	12
265	telomere	5aeefb8f-57e3-4108-847b-8c0124cf4b01	22596	22813	+	22813	222	94.6%	211	5	1	6
269	telomere	02c198f7-f387-43d9-91a3-b103a46f5f65	26847	26930	+	26930	84	91.9%	79	2	2	3
273	telomere	ce49c01d-87ac-4213-893e-635c7ed61cab	2	1203	-	19026	1219	98.0%	1197	1	3	21
277	telomere	075d01cd-1187-4983-91af-0b525d54ef02	2118	2245	+	2245	127	93.8%	122	2	3	3
281	telomere	338ed15b-3e5a-42c5-9a23-91b8802f6acc	7	1176	-	8173	1177	98.6%	1164	2	3	11
285	telomere	51edf678-806a-482e-b1c6-f0d75740b6b6	4	1435	-	5930	1478	94.5%	1409	9	13	60
289	telomere	85cb1035-20db-40cc-b394-a66928e72376	0	18552	-	33086	18780	97.6%	18430	18	104	332
293	telomere	e9de7081-9f55-4c0d-9914-8f1c4811e335	0	1530	-	23587	1559	97.1%	1520	4	6	35
297	telomere	33bfec74-068e-4a2b-84e8-086e27dc8846	0	917	-	7052	917	98.9%	912	0	5	5
301	telomere	b9b6d51c-0801-4935-9085-7a9a814fc9fb	0	571	-	22080	563	98.6%	563	0	8	0
305	telomere	c312c7ad-baa8-4749-9e1c-8d6f92052af4	22403	22492	+	22493	89	98.9%	88	1	0	0
309	telomere	50be3c6e-87d4-4ea3-b161-47dc7fdea655	12	104	-	8672	91	92.6%	87	2	3	2
313	telomere	50be3c6e-87d4-4ea3-b161-47dc7fdea655	187	7062	-	8672	7011	96.6%	6815	16	44	180
317	telomere	24ac9bb5-9ff2-4a57-b0db-fe72abf5046e	8982	9089	+	9095	107	99.1%	106	1	0	0
321	telomere	503a81ee-0f78-4ba7-a18f-661801415d42	0	646	-	18633	636	97.2%	632	0	14	4
325	telomere	86282bd9-4a0d-47ba-832d-282e3a6226cb	0	1484	-	20500	1488	98.3%	1473	0	11	15
329	telomere	bdb29c63-f22e-47c7-b2f3-ff5dbd2db376	0	637	-	8859	636	97.2%	626	3	8	7
333	telomere	dcf0e095-353f-4503-a0bb-2404d29593e3	6848	6905	+	6905	57	100.0%	57	0	0	0
337	telomere	012dc6ab-ce2a-4ef7-9e4a-20a3990e5137	5	1217	-	7227	1212	97.1%	1191	6	15	15
341	telomere	e5266db6-8599-40aa-ba70-4563ccc284d9	22543	22637	+	22639	95	98.9%	94	0	0	1
345	telomere	ce25bb69-4266-4b5a-a0ab-041cf6d7a0fa	0	1049	-	6393	1052	98.7%	1043	1	5	8
349	telomere	dc5cd300-d979-4810-981a-e46a80768400	0	499	-	13447	497	99.0%	495	1	3	1
353	telomere	2b0386e9-bb42-403b-a04f-602216bab8e5	0	889	-	34117	882	98.8%	880	0	9	2
357	telomere	35d32331-ebc3-4ebb-8012-6a4ea33e9051	39069	39623	+	39623	587	90.7%	534	18	2	35
361	telomere	8622517e-a78c-4de3-b388-b43ac6c58b0a	22364	22507	+	22520	149	95.3%	142	1	0	6
365	telomere	2fed1fb6-ee50-43b2-97b0-bb0d5a927334	26227	26385	+	26391	158	97.5%	154	4	0	0
369	telomere	5ff8de04-6917-41ee-b8e3-359a08401600	0	1128	-	20898	1125	99.5%	1123	1	4	1
373	telomere	24575434-1d4c-474e-acf5-b2e16211d1aa	26370	26475	+	26629	113	89.5%	102	2	1	9
377	telomere	24575434-1d4c-474e-acf5-b2e16211d1aa	26491	26629	+	26629	144	92.4%	134	3	1	7
381	telomere	86c20b88-7037-4dee-afa6-c9e72dc4b503	0	399	-	34742	399	99.0%	397	0	2	2
385	telomere	ddf8ff28-f9d7-4146-b0bc-04b189ff862c	1	918	-	13367	919	98.3%	909	2	6	8
389	telomere	5adaf84a-f418-429c-8423-fa0399520bbb	19006	19082	+	19112	77	97.4%	75	1	0	1
393	telomere	c450e12f-3ed1-4dec-9335-1dc5b0d1eefa	14114	14307	+	14307	209	90.5%	190	2	1	17
397	telomere	bc8c969f-d234-4231-8cf8-45e318dffe08	5804	5850	+	5854	45	97.8%	45	0	1	0
401	telomere	862bce33-dd6c-45c7-96f8-e45cabda522d	7994	8085	+	8103	95	93.8%	90	0	1	5
405	telomere	97dd301d-65aa-41e8-82d4-bf9042b8ef9b	28196	28810	+	29475	647	92.8%	603	8	3	36
409	telomere	97dd301d-65aa-41e8-82d4-bf9042b8ef9b	28899	29087	+	29475	202	89.2%	181	6	1	15
413	telomere	97dd301d-65aa-41e8-82d4-bf9042b8ef9b	29189	29449	+	29475	264	97.3%	257	3	0	4
417	telomere	8ef32e8e-8c4b-4ef4-ab72-2e3a54e0c3d4	3	21543	-	21544	21665	99.1%	21499	8	33	158
421	telomere	2df6ae4b-f4b6-438a-8cbf-c05268a42e0d	0	8080	-	8080	8213	97.3%	8026	19	35	168
425	telomere	e8ecba05-7a28-4584-bee6-4260d62d5f1d	0	699	-	13607	696	99.0%	694	0	5	2
429	telomere	ac24f504-28aa-430d-916c-9b5477f26177	14178	14285	+	14287	107	97.2%	104	3	0	0
433	telomere	91fdde84-b042-44b9-868d-60e334f4b5e5	0	3702	-	9411	3726	97.7%	3669	5	28	52
437	telomere	0aea4d96-adac-4cbd-a166-777f096083f4	0	980	-	27197	983	99.0%	976	1	3	6
441	telomere	b825397b-e7e3-4eef-b0da-c9208898e33e	0	802	-	26465	798	97.0%	787	2	13	9
445	telomere	e330df85-d718-412d-b550-5f57d5f74c9d	155	5822	-	6241	5716	97.6%	5621	5	41	90
449	telomere	06c1d1f4-d1aa-4169-a2db-8debf9253c27	0	979	-	20527	993	97.5%	973	1	5	19
453	telomere	e3f8a60e-c79f-4e66-a038-5dd4153bc22d	109	639	+	7351	570	90.3%	519	6	5	45
457	telomere	e3f8a60e-c79f-4e66-a038-5dd4153bc22d	684	850	+	7351	168	97.0%	164	1	1	3
461	telomere	e3f8a60e-c79f-4e66-a038-5dd4153bc22d	962	1304	+	7351	366	91.8%	337	4	1	25
465	telomere	e3f8a60e-c79f-4e66-a038-5dd4153bc22d	1372	2352	+	7351	1008	93.5%	950	22	8	36
469	telomere	e3f8a60e-c79f-4e66-a038-5dd4153bc22d	2512	3651	+	7351	1199	90.3%	1103	14	22	82
473	telomere	e3f8a60e-c79f-4e66-a038-5dd4153bc22d	3764	4037	+	7351	288	91.7%	266	5	2	17
