assembly	chr	start	end	aa_len	transcript_id	interpro_ids	interpro_info	celeg_symbol	celeg_id	celeg_brief_Description	celeg_aa_len	qcovs	pident	evalue	bitscore
nxOscDolc1.1	chr_I	4123191	4123571	105	984_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	chr_I	4123904	4125108	216	985_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	chr_I	4127736	4128299	187	986_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	chr_I	4129338	4131410	555	987_t	IPR036691, IPR000477	Endonuclease/exonuclease/phosphatase superfamily, Reverse transcriptase domain	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	chr_I	4134166	4135439	306	988_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	chr_I	11142096	11142647	129	2924_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	chr_I	11144267	11146194	445	2925_t	IPR003107, IPR011990	HAT (Half-A-TPR) repeat, Tetratricopeptide-like helical domain superfamily	prp-6	Y59A8B.6		968	84	50.765	1.48e-119	371
nxOscDolc1.1	chr_I	11146247	11146488	65	2926_t	"NA"	"NA"	prp-6	Y59A8B.6		968	83	40.741	6.3e-10	52.8
nxOscDolc1.1	chr_I	11146694	11151605	580	2927_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	chr_I	11153831	11157634	997	2928_t	IPR040676, IPR009878	Domain of unknown function DUF5641, Phlebovirus glycoprotein G2	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	chr_II	6413363	6413916	159	4541_t	IPR013783, IPR008962	Immunoglobulin-like fold, PapD-like superfamily	ssp-31	ZK1225.6		107	31	52	1.1e-12	60.8
nxOscDolc1.1	chr_II	6415651	6416797	330	4542_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	chr_II	6418187	6419279	300	4543_t	IPR000719, IPR011009	Protein kinase domain, Protein kinase-like domain superfamily	C39H7.1	C39H7.1		308	68	36.364	9.06e-45	154
nxOscDolc1.1	chr_II	6420236	6430197	824	4544_t	IPR001106, IPR024083, IPR005921, IPR008948, IPR022313	Aromatic amino acid lyase, Fumarase/histidase N-terminal, Histidine ammonia-lyase, L-Aspartase-like, Phenylalanine/histidine ammonia-lyases active site	haly-1	F47B10.2	haly-1 encodes a histidine ammonia lyase orthologous to the human gene HISTIDASE (HAL; OMIM:235800); HALY-1 is required in C. elegans for conversion of histidine to urocanic acid via reductive deamination; loss-of-function mutations in haly-1 result in protection against zinc and nickel toxicity owing to increased levels of metal-chelating histidine; genetic studies suggest that haly-1 functions in parallel to members of the cation diffusion facilitator family of zinc transporters encodes by cdf-1, cdf-2, and sur-7 to modulate zinc sensitivity; haly-1 mRNA levels do not vary under different dietary zinc conditions.	677	81	77.794	0	1033
nxOscDolc1.1	chr_II	10488546	10490002	227	5512_t	"NA"	"NA"	W03F8.5a	W03F8.5a	NA	1790	78	21.026	0.002	39.3
nxOscDolc1.1	chr_II	10493689	10494861	343	5513_t	"NA"	"NA"	F54H12.2	F54H12.2		419	87	29.545	6.54e-38	140
nxOscDolc1.1	chr_II	10495421	10495887	154	5514_t	"NA"	"NA"	Y57G11C.20	Y57G11C.20		649	93	37.063	1.01e-21	90.5
nxOscDolc1.1	chr_III	60494	63904	1007	5515_t	IPR025476	Helitron helicase-like domain	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	chr_III	74516	75467	248	5516_t	"NA"	"NA"	Y53F4B.36	Y53F4B.36		297	60	20.773	1.12e-5	45.8
nxOscDolc1.1	chr_III	75612	76773	183	5517_t	"NA"	"NA"	K08E4.3b	K08E4.3b	NA	283	69	28.788	1.96e-5	43.9
nxOscDolc1.1	chr_III	79887	82639	729	5519_t	IPR018289	MULE transposase domain	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	chr_III	83439	84327	153	5520_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	chr_III	85687	89653	270	5521_t	IPR008962	PapD-like superfamily	ZK354.7	ZK354.7		224	26	31.818	2.34e-8	53.5
nxOscDolc1.1	chr_III	4635671	4636434	116	6777_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	chr_III	4636461	4636814	117	6778_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	chr_III	4647770	4651181	339	6779_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	chr_III	4652866	4654624	185	6780_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	chr_III	4656726	4657101	104	6781_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	chr_III	4657425	4658206	194	6782_t	IPR019002	Ribosome biogenesis protein Nop16	nol-16	ZK265.6		189	79	39.49	2.78e-29	107
nxOscDolc1.1	chr_III	4658509	4659374	210	6783_t	IPR002589	Macro domain	B0035.3	B0035.3		203	94	59.898	2.03e-81	241
nxOscDolc1.1	chr_III	4660578	4661245	136	6784_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	chr_IV	92377	93043	154	8374_t	"NA"	"NA"	F54H12.2	F54H12.2		419	50	40.506	1.3e-8	52.8
nxOscDolc1.1	chr_IV	94655	95987	267	8375_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	chr_V	146004	148960	396	11734_t	IPR001951, IPR009072, IPR000719, IPR011009, IPR008271	Histone H4, Histone-fold, Protein kinase domain, Protein kinase-like domain superfamily, Serine/threonine-protein kinase active site	C27D6.11	C27D6.11		331	18	58.571	7.78e-18	84
nxOscDolc1.1	chr_V	149325	150443	306	11735_t	IPR009060, IPR015940, IPR000626, IPR029071, IPR004806, IPR015360, IPR036353	UBA-like superfamily, Ubiquitin-associated domain, Ubiquitin-like domain, Ubiquitin-like domain superfamily, UV excision repair protein Rad23, XPC-binding domain, XPC-binding domain superfamily	rad-23	ZK20.3	rad-23 encodes a protein containing ubiquitin-like (UBL) and ubiquitin-associated (UBA) domains that is a member  of the Radiation Sensitivity 23 (RAD23) family of proteasomal ubiquitin receptors; in C. elegans, rad-23 activity is required for normal axon branching; rad-23 displays genetic interactions with png-1, which encodes a peptide-N-glycanase, also required for proper axon branching during vulval development; in addition, large-scale RNAi screens indicate that hermaphrodites treated with rad-23(RNAi) become sick and sterile, suggesting a more general role for rad-23; large-scale yeast two-hybrid experiments report that RAD-23 interacts with the product of ZK1240.2, which encodes a predicted E3 ubiquitin ligase; like its orthologs in yeast and mammals, C. elegans rad-23 functions in nucleotide excision repair (NER); rad-23 functions in the global genome repair (GGR) pathway of NER and is necessary in germ cells to repair UV-induced DNA damage and for normal meiotic development following UV irradiation; rad-23 is partially necessary for efficient UV-induced apoptosis in germ cells; rad-23 is an ortholog of human hHR23A and hHR23B.	323	98	36.449	4.02e-54	179
nxOscDolc1.1	chr_V	151018	153281	530	11736_t	IPR003107, IPR010491, IPR011990	HAT (Half-A-TPR) repeat, PRP1 splicing factor N-terminal, Tetratricopeptide-like helical domain superfamily	prp-6	Y59A8B.6		968	99	44.731	1.24e-104	335
nxOscDolc1.1	chr_V	153351	153907	157	11737_t	IPR003107, IPR013026, IPR011990	HAT (Half-A-TPR) repeat, Tetratricopeptide repeat-containing domain, Tetratricopeptide-like helical domain superfamily	prp-6	Y59A8B.6		968	94	65.306	2.83e-65	214
nxOscDolc1.1	chr_V	153959	154035	10	11738_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	chr_V	157094	157917	149	11739_t	IPR000477	Reverse transcriptase domain	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	chr_V	6466105	6467418	160	13008_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	chr_V	6468502	6470457	266	13009_t	"NA"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA
nxOscDolc1.1	chr_X	3802271	3804300	395	15149_t	IPR003378	Fringe-like	C16D9.6	C16D9.6		340	67	36.735	2.3e-59	196
