chrom	length	bases	mean	min	max
ptg000001l	27112	1245363	45.93	1	103
ptg000002l	25130	124140	4.94	0	10
ptg000003l	29556	1892256	64.02	1	155
ptg000004l	22062	1616400	73.27	1	139
ptg000005l	26637	1443611	54.20	0	116
ptg000006l	24969	115534	4.63	0	10
ptg000007l	27237	1855766	68.13	0	156
ptg000008l	22400	10080	0.45	0	1
ptg000009l	25351	1670653	65.90	0	138
ptg000010l	23855	114120	4.78	0	9
ptg000011l	27385	2025698	73.97	1	171
ptg000012l	24384	2048738	84.02	1	165
ptg000013l	19809	78635	3.97	0	7
ptg000014l	44096	1295379	29.38	0	112
ptg000015l	25197	122129	4.85	0	9
ptg000016l	10770	10107	0.94	0	1
ptg000017l	23119	2161039	93.47	1	187
ptg000018l	20228	70804	3.50	1	6
ptg000019l	30519	1837824	60.22	1	148
ptg000020l	20040	191905	9.58	1	23
ptg000021l	22211	51050	2.30	0	4
ptg000022l	25665	112764	4.39	0	9
ptg000023l	37245	1925709	51.70	0	166
ptg000024l	10499	388516	37.01	0	64
total	595476	22408220	37.63	0	187
