chrom	length	bases	mean	min	max
ptg000001l	24745	1284825	51.92	1	98
ptg000002l	24802	1322071	53.31	0	111
ptg000003l	23624	1013297	42.89	0	87
ptg000004l	22690	1091882	48.12	1	84
ptg000005l	22424	1164015	51.91	0	104
ptg000006l	22946	1102030	48.03	1	88
ptg000007l	24525	932081	38.01	0	80
ptg000008l	25410	1042381	41.02	1	81
ptg000009l	23572	1250698	53.06	1	97
ptg000010l	23098	1053539	45.61	1	84
ptg000011l	24564	1013399	41.26	0	74
ptg000012l	23188	1111861	47.95	1	89
ptg000013l	22210	1073820	48.35	1	91
ptg000014l	23523	1433004	60.92	0	116
ptg000015l	29538	1023444	34.65	1	77
ptg000016l	21132	1180217	55.85	1	89
ptg000017l	25327	1064298	42.02	0	83
ptg000018l	23132	996886	43.10	1	84
ptg000019l	23724	1303067	54.93	1	102
ptg000020l	15078	31996	2.12	1	3
ptg000021l	13127	34603	2.64	1	10
ptg000022l	27501	1287157	46.80	1	103
ptg000023l	21298	1042025	48.93	0	81
ptg000024l	22422	1115885	49.77	0	91
ptg000025l	25293	1216061	48.08	1	98
ptg000026l	25464	998243	39.20	1	85
ptg000027l	25365	841228	33.16	1	60
ptg000028l	26094	1443924	55.34	1	120
ptg000029l	23103	108774	4.71	1	10
ptg000030l	26386	1252484	47.47	0	94
ptg000031l	23054	1219317	52.89	1	94
ptg000032l	12526	26106	2.08	1	3
ptg000033l	24612	1093996	44.45	1	90
ptg000034l	22535	1293669	57.41	1	107
ptg000035l	23865	1105010	46.30	1	86
ptg000036l	22276	42085	1.89	1	5
ptg000037l	23430	84137	3.59	0	8
total	857603	35693515	41.62	0	120
